Topic 805 (0.00): party, government, labour, conservative, policy, political, policies, conservatives, thatcher, social
Topic 756 (0.00): war, world, military, country, gulf, civil, army, wars, soldiers, fighting
Topic 1108 (0.00): solution, difficult, difficulties, situation, future, difficulty, task, question, potential, remain
Topic 762 (0.00): research, science, department, technology, university, centre, programme, institute, development, industry
Topic 924 (0.00): charges, trial, court, government, investigation, scandal, corruption, alleged, prison, arrested
Topic 637 (0.00): patients, disease, colitis, bowel, normal, inflammatory, biopsy, chronic, intestinal, liver
Topic 808 (0.00): love, smiled, time, laughed, looked, happy, told, kissed, home, meet
Topic 1302 (0.00): chapter, section, discussed, chapters, book, discussion, analysis, main, study, detail
Topic 1163 (0.00): windows, program, screen, files, file, dos, version, software, package, text
Topic 21 (0.00): funding, funds, money, grant, support, fund, government, financial, grants, council
Topic 122 (0.00): increase, increased, rate, increasing, reduced, reduction, period, increases, change, effect
Topic 664 (0.00): glass, drink, wine, bottle, table, whisky, glasses, drank, brandy, water
Topic 334 (0.00): local, government, authorities, councils, services, central, authority, council, county, system
Topic 45 (0.00): military, army, coup, government, forces, president, armed, officers, country, attempt
Topic 261 (0.00): sales, company, market, products, customers, selling, business, product, companies, marketing
Topic 1120 (0.00): phone, telephone, call, voice, calls, rang, ring, receiver, time, office
Topic 1336 (0.00): community, union, treaty, economic, policy, monetary, single, common, countries, political
Topic 1227 (0.00): court, told, police, yesterday, trial, heard, crown, guilty, found, murder
Topic 408 (0.00): report, committee, commission, recommendations, reports, published, government, recommended, evidence, review
Topic 652 (0.00): magazine, article, issue, readers, editor, read, articles, page, letter, write
Topic 1200 (0.00): teachers, schools, teacher, teaching, curriculum, school, education, classroom, development, professional
Topic 1000 (0.00): soviet, supreme, republics, republic, union, president, independence, deputies, federation, congress
Topic 505 (0.00): friends, life, friend, met, time, found, home, friendship, girls, house
Topic 355 (0.00): church, built, palace, building, chapel, cathedral, house, fine, century, square
Topic 322 (0.00): race, horse, racing, jockey, won, winner, trainer, cup, run, season
Topic 1174 (0.00): party, president, elected, minister, national, government, political, council, elections, assembly
Topic 1478 (0.00): theatre, play, stage, production, actor, performance, actors, drama, plays, audience
Topic 608 (0.00): issues, debate, issue, questions, discussion, public, question, political, policy, agenda
Topic 1239 (0.00): care, social, services, community, health, service, people, workers, assessment, worker
Topic 741 (0.00): empire, roman, century, emperor, imperial, christian, power, centuries, rule, time
Topic 631 (0.00): museum, art, collection, gallery, national, museums, collections, arts, paintings, exhibition
Topic 1186 (0.00): church, catholic, roman, religious, pope, bishops, christian, churches, clergy, archbishop
Topic 686 (0.00): major, minister, thatcher, prime, john, government, party, labour, cabinet, election
Topic 1115 (0.00): murder, killed, death, kill, killing, dead, people, life, murdered, shot
Topic 592 (0.00): students, courses, degree, studies, study, faculty, subjects, honours, degrees, subject
Topic 73 (0.00): learning, teaching, skills, students, student, teacher, experience, education, knowledge, learner
Topic 920 (0.00): policy, policies, government, political, public, economic, social, implementation, governments, national
Topic 186 (0.00): tax, income, taxes, taxation, revenue, rate, government, budget, vat, cent
Topic 1463 (0.00): army, officer, military, regiment, war, soldiers, officers, soldier, training, captain
Topic 960 (0.00): boat, deck, water, ship, boats, crew, yacht, sea, sailing, cabin
Topic 699 (0.00): research, study, social, studies, data, project, methods, researchers, researcher, observation
Topic 133 (0.00): words, word, recognition, information, system, input, text, processing, lexicon, corpus
Topic 930 (0.00): president, bush, house, congress, administration, campaign, senate, republican, presidential, white
Topic 855 (0.00): children, child, parents, adult, adults, age, parent, school, childhood, family
Topic 612 (0.00): women, children, woman, married, wives, home, family, husbands, mothers, domestic
Topic 1069 (0.00): rural, population, urban, cities, towns, growth, people, cent, migration, city
Topic 61 (0.00): differences, structure, pattern, features, common, similar, patterns, structures, form, individual
Topic 1199 (0.00): law, legal, laws, common, courts, legislation, act, criminal, rules, principles
Topic 802 (0.00): press, daily, paper, newspaper, news, newspapers, papers, times, editor, national
Topic 1349 (0.00): trade, exports, imports, export, countries, world, market, production, prices, products
Topic 1266 (0.00): money, raised, charity, raise, fund, people, appeal, day, local, support
Topic 96 (0.00): people, person, counselling, life, counsellor, social, feelings, family, feel, experience
Topic 722 (0.00): fear, feelings, anger, feel, life, people, emotional, emotions, feeling, love
Topic 934 (0.00): diet, food, foods, sugar, fat, eat, fibre, vegetables, fruit, eating
Topic 1398 (0.00): hotel, pool, beach, bar, bedrooms, breakfast, night, single, dinner, terrace
Topic 601 (0.00): view, opinion, views, expressed, attitude, public, opinions, attitudes, people, majority
Topic 395 (0.00): ship, ships, sea, navy, fleet, captain, naval, vessel, crew, seamen
Topic 327 (0.00): sea, beach, coast, water, sand, bay, island, shore, tide, boat
Topic 483 (0.00): school, children, pupils, schools, teacher, teachers, parents, education, primary, pupil
Topic 215 (0.00): letter, letters, wrote, write, dear, written, received, send, hope, read
Topic 23 (0.00): expenditure, spending, budget, government, public, cuts, money, billion, increase, cut
Topic 374 (0.00): army, war, attack, troops, forces, enemy, allied, battle, front, armies
Topic 200 (0.00): police, night, home, attack, car, house, officers, yesterday, arrested, victim
Topic 823 (0.00): birds, bird, species, nest, wings, feathers, food, owl, breeding, fly
Topic 1281 (0.00): form, information, details, office, date, application, required, copy, certificate, address
Topic 1195 (0.00): killed, people, police, government, security, army, attack, attacks, claimed, forces
Topic 881 (0.00): life, experience, spiritual, love, human, god, world, mind, sense, nature
Topic 83 (0.00): profits, shares, market, share, cent, yesterday, dividend, stock, rose, trading
Topic 243 (0.00): benefit, income, benefits, social, security, support, allowance, people, supplementary, week
Topic 70 (0.00): party, labour, national, conference, communist, policy, movement, left, government, parties
Topic 959 (0.00): water, clean, clothes, washing, wash, kitchen, dirty, floor, hot, dry
Topic 715 (0.00): people, person, lot, live, lives, country, feel, living, understand, world
Topic 893 (0.00): golf, round, green, hole, shot, play, tour, won, tournament, par
Topic 1197 (0.00): government, constitution, democracy, parliament, constitutional, political, power, people, democratic, system
Topic 74 (0.00): failure, lack, poor, failed, inadequate, result, failures, due, fail, difficult
Topic 277 (0.00): add, minutes, oil, cook, pan, pepper, salt, chopped, serve, heat
Topic 795 (0.00): baby, mother, child, birth, babies, pregnant, born, pregnancy, mothers, women
Topic 1430 (0.00): rights, human, amnesty, government, prisoners, international, political, torture, prison, death
Topic 769 (0.00): minister, cabinet, prime, government, ministers, secretary, office, lord, sir, thatcher
Topic 50 (0.00): engine, power, rover, rear, front, fitted, range, speed, steering, car
Topic 109 (0.00): police, body, found, murder, inspector, death, dead, missing, detective, sergeant
Topic 1059 (0.00): sites, site, roman, evidence, archaeological, buildings, settlement, excavation, remains, found
Topic 1264 (0.00): paper, read, written, write, letter, writing, letters, pen, notes, hand
Topic 728 (0.00): house, home, live, flat, cottage, living, moved, lived, couple, move
Topic 144 (0.00): poor, poverty, social, conditions, people, living, families, children, unemployment, housing
Topic 967 (0.00): staff, department, management, manager, personnel, service, training, senior, job, officer
Topic 1423 (0.00): director, chairman, executive, company, chief, appointed, managing, board, manager, business
Topic 1166 (0.00): knowledge, experience, understanding, skills, ability, people, understand, technical, learn, skill
Topic 877 (0.00): beauty, beautiful, world, mind, life, eyes, dream, love, light, day
Topic 517 (0.00): data, values, analysis, distribution, calculated, table, test, measured, standard, results
Topic 1157 (0.00): countries, world, international, development, global, developing, economic, aid, nations, country
Topic 79 (0.00): price, prices, market, cost, buy, sell, pay, bought, buying, sold
Topic 240 (0.00): desk, office, door, chair, sat, morning, looked, time, papers, floor
Topic 377 (0.00): committee, council, committees, executive, chairman, secretary, board, officers, body, representatives
Topic 1354 (0.00): patients, treatment, study, trial, dose, placebo, trials, months, weeks, treated
Topic 382 (0.00): company, companies, directors, business, shareholders, corporate, limited, director, management, employees
Topic 130 (0.00): management, managers, manager, people, business, company, profit, job, employees, team
Topic 134 (0.00): union, trade, unions, industrial, workers, labour, bargaining, employers, relations, collective
Topic 1330 (0.00): table, figures, average, total, figure, proportion, statistics, data, percentage, period
Topic 84 (0.00): range, design, designed, designs, wide, prices, products, choice, price, quality
Topic 1219 (0.00): health, care, services, patients, service, practitioners, practice, authorities, practices, hospital
Topic 693 (0.00): factors, factor, influence, conditions, environment, individual, degree, importance, nature, potential
Topic 720 (0.00): housing, council, local, houses, accommodation, tenants, homes, homeless, house, private
Topic 624 (0.00): patients, patient, liver, treatment, bleeding, surgery, coronary, acute, cardiac, months
Topic 1404 (0.00): hotel, taxi, driver, airport, left, cab, car, waiting, told, arrived
Topic 952 (0.00): education, courses, colleges, college, universities, institutions, students, polytechnics, university, polytechnic
Topic 86 (0.00): colour, red, colours, blue, white, yellow, green, black, light, dark
Topic 1073 (0.00): peasants, peasant, government, land, tsar, peasantry, reform, political, local, nobility
Topic 1394 (0.00): minister, affairs, cabinet, prime, foreign, ministers, education, deputy, industry, defence
Topic 541 (0.00): countryside, national, conservation, nature, wildlife, environment, trust, environmental, land, natural
Topic 774 (0.00): century, land, local, poor, parish, population, wealth, rural, country, towns
Topic 905 (0.00): aircraft, plane, pilot, flying, flight, air, fly, airport, landing, runway
Topic 1164 (0.00): conference, held, international, seminar, meeting, delegates, details, institute, programme, conferences
Topic 1025 (0.00): shop, shops, store, stores, shopping, customers, buy, street, customer, people
Topic 156 (0.00): civil, government, service, department, servants, departments, public, ministers, policy, minister
Topic 403 (0.00): culture, cultural, society, world, western, cultures, values, social, modern, life
Topic 629 (0.00): money, week, pay, paid, day, job, buy, food, home, cost
Topic 329 (0.00): church, cathedral, century, churches, built, building, nave, buildings, stone, architecture
Topic 859 (0.00): tears, life, pain, death, grief, cry, crying, anger, feeling, feel
Topic 486 (0.00): television, programme, news, radio, programmes, series, people, viewers, live, coverage
Topic 1241 (0.00): strike, union, workers, unions, action, trade, industrial, strikes, dispute, government
Topic 1043 (0.00): demand, money, rate, supply, real, curve, wage, labour, level, unemployment
Topic 719 (0.00): people, person, talk, feel, talking, listen, time, listening, feelings, ideas
Topic 571 (0.00): oxford, people, reports, pounds, hundred, ago, thousand, john, country, smith
Topic 439 (0.00): west, people, colonial, colonies, century, land, population, south, trade, peoples
Topic 5 (0.00): farmers, farm, agricultural, agriculture, farming, land, farms, farmer, production, food
Topic 416 (0.00): gene, expression, genes, sequence, sequences, human, protein, cells, shown, fragment
Topic 393 (0.00): chemical, carbon, oxygen, organic, molecules, chemistry, compounds, water, hydrogen, form
Topic 1345 (0.00): moral, society, morality, human, ethical, values, principles, ethics, view, morally
Topic 680 (0.00): political, power, bureaucracy, elite, government, control, public, elites, institutions, society
Topic 1231 (0.00): care, people, home, homes, elderly, residential, carers, community, caring, services
Topic 310 (0.00): building, floor, space, buildings, roof, main, wall, built, ground, windows
Topic 950 (0.00): computer, software, computers, program, programs, machine, machines, system, data, information
Topic 222 (0.00): god, ghost, fairy, world, story, earth, evil, legend, night, spirits
Topic 407 (0.00): bill, house, government, committee, debate, legislation, parliament, commons, amendment, time
Topic 1039 (0.00): environmental, pollution, environment, air, emissions, sulphur, dioxide, carbon, acid, rain
Topic 1107 (0.00): gun, shot, guns, fired, fire, shooting, rifle, hit, shots, bullets
Topic 901 (0.00): guitar, sound, bass, guitars, neck, amp, sounds, strings, playing, tone
Topic 970 (0.00): business, businesses, companies, company, commercial, industry, enterprise, trade, financial, firms
Topic 1095 (0.00): film, films, cinema, production, movies, director, screen, television, audience, industry
Topic 1053 (0.00): science, scientific, scientists, scientist, research, knowledge, world, sciences, chemistry, theory
Topic 388 (0.00): modules, national, certificate, centres, development, qualifications, courses, assessment, awards, vocational
Topic 954 (0.00): purchaser, vendor, sale, business, information, agreement, completion, mas, client, warranties
Topic 1047 (0.00): job, career, jobs, recruitment, training, experience, employment, people, qualifications, employers
Topic 102 (0.00): community, local, people, communities, education, social, development, participation, support, action
Topic 838 (0.00): exchange, rate, currency, rates, dollar, sterling, currencies, monetary, foreign, countries
Topic 984 (0.00): language, languages, linguistic, learning, foreign, spoken, teaching, knowledge, written, speak
Topic 108 (0.00): council, county, local, councillors, district, councillor, town, borough, committee, people
Topic 451 (0.00): intelligence, maxim, secret, security, service, agents, operation, information, war, embassy
Topic 1055 (0.00): festival, theatre, music, arts, hall, tickets, centre, events, programme, concert
Topic 467 (0.00): story, fiction, novels, book, characters, narrative, reader, writer, character, writing
Topic 910 (0.00): students, university, student, college, education, universities, academic, study, campus, staff
Topic 771 (0.00): aids, virus, infection, disease, infected, hepatitis, diseases, blood, people, health
Topic 1082 (0.00): cells, samples, minutes, buffer, antibody, cell, solution, serum, added, incubated
Topic 314 (0.00): cost, marginal, market, price, costs, firm, firms, output, social, prices
Topic 598 (0.00): library, libraries, books, stock, public, collection, librarians, book, librarian, information
Topic 414 (0.00): bank, banks, money, deposits, market, bills, rates, discount, financial, assets
Topic 250 (0.00): railway, steam, line, locomotive, train, station, trains, class, locomotives, railways
Topic 1392 (0.00): growth, productivity, output, labour, rate, investment, prices, increase, capital, increased
Topic 1284 (0.00): god, christian, theology, bible, human, history, testament, religion, church, faith
Topic 256 (0.00): courts, decision, court, law, review, judicial, jurisdiction, lord, justice, decisions
Topic 462 (0.00): train, station, railway, platform, trains, passengers, car, journey, line, carriage
Topic 793 (0.00): courses, day, training, sessions, local, contact, information, centre, workshop, school
Topic 97 (0.00): experience, consciousness, mental, mind, perception, world, physical, sense, conscious, objects
Topic 1104 (0.00): education, training, compact, development, enterprise, industry, partnership, students, employers, experience
Topic 392 (0.00): race, racing, team, world, championship, car, grand, formula, driver, season
Topic 196 (0.00): language, discourse, meaning, linguistic, grammar, context, sentences, sentence, analysis, structure
Topic 78 (0.00): music, song, singing, songs, sing, play, playing, played, sang, piano
Topic 441 (0.00): depression, mental, illness, disorder, symptoms, schizophrenia, psychiatric, physical, loss, behaviour
Topic 1494 (0.00): holiday, travel, holidays, booking, accommodation, hotel, time, details, brochure, price
Topic 498 (0.00): site, development, planning, council, local, plans, building, land, build, scheme
Topic 739 (0.00): organisation, management, organisations, structure, authority, organisational, managers, responsibility, control, environment
Topic 1396 (0.00): party, congress, communist, committee, central, democratic, political, politburo, secretary, people
Topic 1139 (0.00): church, bishop, parish, priest, father, vicar, mass, diocese, catholic, priests
Topic 1469 (0.00): national, nation, nationalism, political, nations, nationalist, world, independence, country, cultural
Topic 1079 (0.00): soil, crops, crop, land, wheat, farmers, grass, grown, seed, growing
Topic 7 (0.00): approach, strategy, approaches, process, model, strategies, adopted, based, nature, emphasis
Topic 381 (0.00): museum, centre, exhibition, visitors, history, shop, visit, collection, display, park
Topic 385 (0.00): literature, literary, criticism, texts, cultural, critical, writing, text, study, language
Topic 1254 (0.00): evidence, trial, jury, judge, court, witness, prosecution, defence, witnesses, defendant
Topic 834 (0.00): act, legislation, protection, regulation, public, government, regulations, law, powers, legal
Topic 616 (0.00): erosion, soils, water, rock, surface, sand, sea, weathering, rocks, soil
Topic 813 (0.00): knitting, knit, machine, stitches, yarn, needles, rows, stitch, row, pattern
Topic 599 (0.00): river, water, bridge, bank, boat, rivers, banks, lake, mud, tide
Topic 1170 (0.00): medical, doctors, treatment, medicine, doctor, patients, health, clinical, practice, patient
Topic 1188 (0.00): street, road, house, lane, park, square, west, town, shop, city
Topic 1155 (0.00): systems, design, system, development, techniques, computer, expert, analysis, technology, engineering
Topic 826 (0.00): pain, leg, injury, injuries, wound, broken, knee, ankle, head, blood
Topic 354 (0.00): political, party, politics, parties, government, system, power, support, politicians, public
Topic 1184 (0.00): town, towns, market, country, centre, local, city, houses, villages, streets
Topic 418 (0.00): tea, coffee, cup, cups, table, kitchen, mug, drink, kettle, sat
Topic 1204 (0.00): genes, genetic, selection, evolution, gene, natural, species, generation, evolutionary, population
Topic 863 (0.00): prince, royal, princess, queen, family, palace, marriage, duchess, public, couple
Topic 1029 (0.00): energy, power, electricity, gas, coal, oil, fuel, consumption, efficiency, demand
Topic 630 (0.00): assets, profit, accounts, account, accounting, net, balance, loss, cost, company
Topic 1276 (0.00): million, cent, total, billion, cost, estimated, half, figure, increase, figures
Topic 581 (0.00): father, mother, son, family, boy, daughter, parents, child, brother, life
Topic 1314 (0.00): insurance, policy, cover, damage, loss, insured, claim, claims, accident, pay
Topic 873 (0.00): tax, income, capital, revenue, relief, gains, rate, inland, paid, act
