Topic 637 (0.00): patients, disease, colitis, bowel, normal, inflammatory, biopsy, serum, found, chronic
Topic 45 (0.00): military, army, coup, government, president, forces, armed, country, officers, attempt
Topic 805 (0.00): party, government, labour, conservative, political, policy, policies, conservatives, election, thatcher
Topic 21 (0.00): funding, funds, money, grant, fund, government, support, financial, grants, council
Topic 122 (0.00): increase, increased, rate, increasing, reduction, reduced, effect, increases, period, decline
Topic 756 (0.00): war, world, military, country, gulf, civil, army, wars, soldiers, battle
Topic 808 (0.00): love, time, smiled, looked, happy, laughed, told, meet, kissed, girl
Topic 924 (0.00): charges, trial, court, government, investigation, scandal, corruption, alleged, arrested, prison
Topic 1163 (0.00): windows, program, screen, files, dos, file, software, version, package, text
Topic 334 (0.00): local, government, authorities, councils, services, central, authority, council, county, district
Topic 1336 (0.00): union, community, treaty, economic, policy, monetary, single, countries, common, political
Topic 1200 (0.00): teachers, schools, teacher, teaching, school, curriculum, education, classroom, development, educational
Topic 1227 (0.00): court, told, police, yesterday, trial, heard, crown, found, guilty, murder
Topic 261 (0.00): sales, company, market, products, customers, selling, business, product, companies, marketing
Topic 505 (0.00): friends, friend, life, time, met, found, home, house, friendship, girls
Topic 652 (0.00): magazine, article, issue, readers, editor, read, articles, page, letter, write
Topic 408 (0.00): report, committee, commission, recommendations, reports, published, government, evidence, recommended, review
Topic 1239 (0.00): care, social, services, community, health, people, service, workers, assessment, residential
Topic 664 (0.00): glass, drink, bottle, wine, table, whisky, glasses, brandy, drank, poured
Topic 1000 (0.00): soviet, supreme, republics, republic, union, president, independence, deputies, federation, federal
Topic 1120 (0.00): phone, telephone, call, voice, calls, ring, rang, receiver, time, told
Topic 1174 (0.00): party, president, elected, minister, national, political, government, elections, council, assembly
Topic 322 (0.00): race, horse, racing, won, jockey, trainer, winner, cup, run, national
Topic 741 (0.00): empire, roman, century, emperor, imperial, christian, rule, centuries, power, time
Topic 355 (0.00): church, built, palace, building, chapel, cathedral, fine, century, square, city
Topic 1478 (0.00): theatre, play, stage, production, actor, performance, actors, drama, plays, audience
Topic 631 (0.00): museum, art, collection, gallery, national, museums, collections, arts, paintings, exhibition
Topic 686 (0.00): major, minister, thatcher, prime, john, party, government, labour, cabinet, election
Topic 1186 (0.00): church, catholic, roman, religious, bishops, pope, christian, churches, council, archbishop
Topic 608 (0.00): issues, debate, issue, questions, discussion, public, political, question, concern, policy
Topic 592 (0.00): students, courses, degree, studies, study, faculty, subjects, honours, degrees, department
Topic 1115 (0.00): murder, killed, death, kill, killing, dead, people, life, shot, murdered
Topic 186 (0.00): tax, income, taxes, taxation, rate, revenue, government, budget, cent, vat
Topic 920 (0.00): policy, policies, government, political, economic, public, social, implementation, governments, national
Topic 73 (0.00): learning, teaching, skills, students, student, teacher, experience, knowledge, education, learner
Topic 802 (0.00): press, paper, daily, newspaper, news, newspapers, times, papers, editor, mail
Topic 61 (0.00): differences, structure, pattern, features, similar, common, individual, structures, patterns, variations
Topic 1199 (0.00): law, legal, laws, act, common, courts, legislation, criminal, rules, statute
Topic 1266 (0.00): money, raised, charity, raise, people, fund, appeal, support, local, funds
Topic 960 (0.00): boat, deck, water, boats, ship, crew, yacht, sea, sail, sailing
Topic 930 (0.00): president, bush, house, congress, administration, senate, campaign, republican, presidential, white
Topic 1069 (0.00): rural, population, urban, cities, towns, growth, people, cent, migration, south
Topic 612 (0.00): women, children, woman, married, home, wives, family, husbands, mothers, domestic
Topic 1463 (0.00): army, officer, military, war, regiment, soldiers, officers, soldier, captain, training
Topic 855 (0.00): children, child, parents, adult, age, adults, parent, school, childhood, family
Topic 133 (0.00): words, word, recognition, information, system, input, text, processing, lexicon, corpus
Topic 722 (0.00): fear, feelings, anger, feel, life, people, emotions, emotional, love, feeling
Topic 96 (0.00): people, person, life, counselling, social, counsellor, feelings, feel, family, loss
Topic 601 (0.00): view, opinion, views, expressed, attitude, public, opinions, attitudes, people, majority
Topic 395 (0.00): ship, ships, sea, navy, fleet, captain, naval, vessel, crew, vessels
Topic 934 (0.00): diet, food, foods, sugar, eat, fat, fibre, fruit, eating, vegetables
Topic 215 (0.00): letter, letters, write, wrote, dear, written, received, hope, reply, send
Topic 23 (0.00): expenditure, spending, budget, government, public, cuts, money, billion, increase, financial
Topic 327 (0.00): sea, beach, coast, water, sand, bay, island, shore, tide, boat
Topic 483 (0.00): school, children, pupils, teachers, schools, teacher, parents, education, primary, pupil
Topic 1349 (0.00): trade, exports, imports, export, countries, world, market, production, prices, import
Topic 699 (0.00): research, study, social, studies, data, methods, project, researcher, researchers, observation
Topic 1398 (0.00): hotel, pool, beach, bar, bedrooms, breakfast, night, single, dinner, restaurant
Topic 823 (0.00): birds, bird, wings, species, nest, feathers, food, fly, owl, breeding
Topic 200 (0.00): police, night, home, attack, car, officers, house, yesterday, woman, arrested
Topic 715 (0.00): people, person, live, lot, lives, life, feel, time, understand, world
Topic 83 (0.00): profits, shares, market, share, cent, yesterday, sales, dividend, stock, trading
Topic 374 (0.00): army, troops, war, attack, forces, allied, battle, enemy, front, armies
Topic 967 (0.00): staff, department, management, manager, personnel, training, senior, service, job, responsibility
Topic 1281 (0.00): information, form, details, application, date, office, required, certificate, copy, address
Topic 70 (0.00): party, labour, national, communist, conference, movement, left, policy, union, parties
Topic 959 (0.00): water, clean, clothes, washing, wash, kitchen, dirty, floor, bed, hot
Topic 1195 (0.00): killed, people, security, police, government, attack, attacks, army, forces, claimed
Topic 881 (0.00): life, experience, spiritual, human, god, love, world, sense, nature, mind
Topic 109 (0.00): police, body, found, murder, inspector, death, dead, detective, missing, sergeant
Topic 769 (0.00): minister, cabinet, prime, government, ministers, secretary, office, sir, thatcher, lord
Topic 728 (0.00): house, home, live, flat, living, cottage, lived, family, moved, people
Topic 243 (0.00): benefit, income, benefits, social, security, support, allowance, people, supplementary, system
Topic 277 (0.00): add, minutes, oil, cook, serve, pan, chopped, pepper, heat, salt
Topic 1430 (0.00): rights, human, amnesty, government, prisoners, international, political, torture, prison, death
Topic 1264 (0.00): paper, read, written, writing, write, pen, letters, letter, notes, hand
Topic 1197 (0.00): government, democracy, constitution, parliament, political, constitutional, power, people, democratic, system
Topic 795 (0.00): baby, mother, child, birth, babies, pregnant, born, pregnancy, mothers, women
Topic 74 (0.00): failure, lack, poor, inadequate, result, failed, failures, difficult, due, reasons
Topic 877 (0.00): beauty, world, beautiful, mind, life, eyes, light, day, dream, love
Topic 1059 (0.00): sites, site, roman, evidence, archaeological, buildings, excavation, settlement, remains, settlements
Topic 517 (0.00): data, values, analysis, distribution, calculated, table, differences, standard, significant, statistical
Topic 893 (0.00): golf, round, green, hole, shot, play, tour, tournament, par, won
Topic 50 (0.00): engine, power, rover, rear, front, range, fitted, steering, speed, car
Topic 1157 (0.00): countries, world, international, development, global, developing, economic, aid, country, nations
Topic 1423 (0.00): director, chairman, executive, company, chief, appointed, managing, manager, board, management
Topic 1166 (0.00): knowledge, experience, understanding, skills, understand, ability, people, technical, skill, learn
Topic 240 (0.00): desk, office, door, chair, sat, looked, morning, papers, time, floor
Topic 134 (0.00): union, trade, unions, industrial, workers, labour, bargaining, employers, relations, collective
Topic 144 (0.00): poor, poverty, social, conditions, people, living, children, families, housing, unemployment
Topic 79 (0.00): price, prices, market, buy, cost, sell, pay, bought, buying, sold
Topic 382 (0.00): company, companies, directors, business, shareholders, corporate, limited, director, management, employees
Topic 84 (0.00): range, design, designed, wide, designs, prices, choice, quality, price, products
Topic 1354 (0.00): patients, treatment, study, trial, dose, placebo, trials, months, weeks, treated
Topic 130 (0.00): management, managers, manager, people, business, company, profit, employees, job, senior
Topic 1219 (0.00): health, care, services, patients, service, practice, practitioners, authorities, hospital, practices
Topic 1330 (0.00): table, figures, average, figure, total, proportion, statistics, data, percentage, compared
Topic 377 (0.00): committee, council, committees, executive, chairman, board, secretary, body, officers, representatives
Topic 720 (0.00): housing, council, houses, local, accommodation, tenants, homes, private, homeless, authorities
Topic 693 (0.00): factors, factor, influence, conditions, individual, importance, environment, degree, nature, extent
Topic 952 (0.00): education, courses, colleges, college, institutions, universities, students, polytechnics, university, polytechnic
Topic 156 (0.00): civil, government, service, department, servants, departments, public, ministers, policy, office
Topic 541 (0.00): countryside, conservation, national, nature, wildlife, trust, environmental, environment, land, sites
Topic 86 (0.00): colour, red, blue, colours, white, green, yellow, black, light, dark
Topic 905 (0.00): aircraft, plane, pilot, flying, flight, air, fly, landing, airport, runway
Topic 774 (0.00): century, land, local, poor, parish, population, towns, rural, wealth, labourers
Topic 1073 (0.00): peasants, peasant, government, land, peasantry, tsar, reform, political, local, nobility
Topic 624 (0.00): patients, patient, liver, treatment, bleeding, surgery, disease, coronary, cardiac, acute
Topic 1025 (0.00): shop, shops, store, stores, shopping, customers, buy, street, customer, sell
Topic 1404 (0.00): hotel, taxi, driver, airport, left, cab, car, waiting, flight, minutes
Topic 1241 (0.00): strike, union, workers, unions, action, trade, industrial, dispute, strikes, government
Topic 5 (0.00): farmers, farm, agricultural, agriculture, farming, land, farms, farmer, production, food
Topic 1394 (0.00): minister, affairs, prime, cabinet, ministers, foreign, deputy, education, finance, defence
Topic 403 (0.00): culture, cultural, society, world, western, values, cultures, social, modern, life
Topic 629 (0.00): money, week, pay, paid, day, job, buy, cost, home, food
Topic 486 (0.00): television, programme, news, radio, programmes, series, people, viewers, coverage, live
Topic 859 (0.00): tears, life, pain, death, grief, cry, feeling, anger, crying, suffering
Topic 329 (0.00): church, cathedral, century, churches, built, building, nave, buildings, stone, columns
