Topic 1394 (0.00): minister, affairs, cabinet, prime, foreign, ministers, deputy, education, national, industry
Topic 624 (0.00): patients, patient, liver, treatment, bleeding, surgery, cardiac, failure, portal, acute
Topic 905 (0.00): aircraft, plane, pilot, flying, flight, fly, air, landing, airport, runway
Topic 720 (0.00): housing, council, local, houses, accommodation, tenants, homes, homeless, authorities, private
Topic 1025 (0.00): shop, shops, store, stores, shopping, customers, buy, street, people, retail
Topic 329 (0.00): church, century, cathedral, churches, built, building, nave, buildings, columns, style
Topic 541 (0.00): countryside, conservation, national, nature, wildlife, environment, environmental, natural, land, sites
Topic 486 (0.00): television, programme, news, radio, programmes, people, series, viewers, coverage, live
Topic 86 (0.00): colour, red, colours, blue, white, green, yellow, black, light, dark
Topic 1164 (0.00): conference, held, international, seminar, institute, meeting, details, delegates, university, organised
Topic 1241 (0.00): strike, union, workers, unions, action, industrial, dispute, trade, strikes, government
Topic 1073 (0.00): peasants, peasant, government, land, tsar, peasantry, reform, local, political, nobility
Topic 629 (0.00): money, week, pay, day, paid, job, buy, home, food, cost
Topic 1404 (0.00): hotel, taxi, driver, airport, left, cab, car, time, told, flight
Topic 1231 (0.00): care, people, home, homes, elderly, residential, carers, community, services, social
Topic 403 (0.00): culture, cultural, society, world, western, cultures, values, modern, life, social
Topic 439 (0.00): west, colonial, colonies, people, land, century, population, south, trade, peoples
Topic 1043 (0.00): demand, money, rate, supply, real, curve, wage, unemployment, inflation, labour
Topic 1345 (0.00): moral, society, morality, human, ethical, values, view, ethics, principles, sense
Topic 774 (0.00): century, land, local, poor, parish, population, wealth, labourers, country, rural
Topic 5 (0.00): farmers, farm, agricultural, agriculture, farming, farms, land, farmer, production, rural
Topic 571 (0.00): oxford, people, reports, pounds, hundred, ago, thousand, home, john, country
Topic 680 (0.00): political, power, bureaucracy, elite, government, public, elites, control, society, institutions
Topic 393 (0.00): chemical, carbon, oxygen, organic, molecules, chemistry, compounds, water, hydrogen, reaction
Topic 416 (0.00): gene, expression, genes, sequence, human, sequences, protein, shown, cells, figure
Topic 719 (0.00): people, person, talk, feel, talking, listen, time, listening, feelings, situation
Topic 1039 (0.00): environmental, pollution, environment, air, emissions, dioxide, sulphur, carbon, acid, rain
Topic 1047 (0.00): job, career, jobs, training, recruitment, people, experience, employment, qualifications, employers
Topic 901 (0.00): guitar, sound, bass, guitars, neck, amp, sounds, strings, playing, tone
Topic 388 (0.00): modules, national, certificate, centres, development, qualifications, courses, assessment, vocational, awards
Topic 108 (0.00): council, county, local, councillors, town, councillor, district, borough, committee, people
Topic 102 (0.00): community, local, people, communities, education, social, development, participation, action, support
Topic 771 (0.00): aids, virus, infection, disease, infected, hepatitis, diseases, blood, people, risk
Topic 222 (0.00): ghost, god, fairy, story, earth, legend, evil, woman, gods, night
Topic 1107 (0.00): gun, shot, fire, guns, fired, shooting, rifle, firing, shoot, shots
Topic 1095 (0.00): film, films, cinema, production, movies, director, screen, television, audience, pictures
Topic 310 (0.00): building, floor, roof, space, main, buildings, built, wall, entrance, ground
Topic 838 (0.00): exchange, rate, currency, rates, sterling, dollar, currencies, monetary, foreign, markets
Topic 1392 (0.00): growth, prices, productivity, rate, increase, cent, investment, output, capital, labour
Topic 910 (0.00): students, university, student, college, education, universities, academic, study, campus, staff
Topic 407 (0.00): bill, house, government, committee, debate, legislation, parliament, commons, amendment, time
Topic 314 (0.00): cost, marginal, market, price, costs, firm, output, firms, social, prices
Topic 954 (0.00): purchaser, vendor, sale, business, information, agreement, completion, mas, client, warranties
Topic 451 (0.00): intelligence, maxim, secret, information, security, agents, service, operation, agent, embassy
Topic 1055 (0.00): festival, theatre, music, arts, tickets, hall, concert, centre, events, programme
Topic 1082 (0.00): cells, samples, minutes, solution, buffer, antibody, serum, sections, added, incubated
Topic 498 (0.00): site, development, planning, council, local, building, plans, land, scheme, build
Topic 950 (0.00): computer, software, computers, program, programs, machine, machines, system, data, information
Topic 250 (0.00): railway, steam, line, train, locomotive, station, class, trains, locomotives, railways
Topic 414 (0.00): bank, banks, money, market, deposits, bills, rates, discount, assets, rate
Topic 1053 (0.00): science, scientific, scientists, scientist, research, knowledge, sciences, world, natural, theory
Topic 196 (0.00): language, discourse, meaning, linguistic, grammar, context, sentences, sentence, analysis, structure
Topic 441 (0.00): depression, mental, illness, symptoms, disorder, psychiatric, schizophrenia, loss, physical, psychological
Topic 467 (0.00): story, fiction, book, novels, characters, reader, narrative, writer, writing, author
Topic 598 (0.00): library, libraries, books, stock, public, collection, book, librarian, librarians, information
Topic 1494 (0.00): holiday, travel, holidays, booking, accommodation, hotel, time, brochure, tour, price
Topic 1104 (0.00): education, training, compact, development, enterprise, partnership, industry, employers, experience, students
Topic 984 (0.00): language, languages, linguistic, learning, spoken, foreign, teaching, written, knowledge, standard
Topic 1396 (0.00): party, congress, communist, committee, central, political, democratic, secretary, politburo, people
Topic 78 (0.00): music, song, singing, songs, sing, played, playing, play, piano, sang
Topic 793 (0.00): courses, sessions, day, training, information, centre, contact, programme, workshop, activities
Topic 1155 (0.00): systems, design, system, development, computer, techniques, expert, engineering, technology, analysis
Topic 97 (0.00): experience, consciousness, mental, mind, perception, physical, world, sense, conscious, objects
Topic 1284 (0.00): god, christian, theology, bible, human, testament, religion, history, faith, church
Topic 392 (0.00): race, racing, team, championship, world, grand, car, season, formula, driver
Topic 1139 (0.00): church, bishop, parish, priest, father, mass, vicar, diocese, priests, catholic
Topic 873 (0.00): tax, income, capital, revenue, relief, gains, paid, rate, purposes, inland
Topic 385 (0.00): literature, literary, texts, criticism, cultural, critical, text, writing, study, reading
Topic 1469 (0.00): national, nation, nationalism, political, nations, world, nationalist, independence, people, war
Topic 462 (0.00): train, station, railway, platform, trains, passengers, journey, car, line, carriage
Topic 1254 (0.00): evidence, trial, jury, judge, court, witness, witnesses, defence, prosecution, defendant
Topic 826 (0.00): pain, leg, injury, injuries, wound, broken, knee, left, ankle, blood
Topic 1079 (0.00): soil, crops, crop, land, wheat, farmers, grass, seed, grown, barley
Topic 970 (0.00): business, businesses, companies, company, industry, commercial, enterprise, trade, firms, management
Topic 813 (0.00): knitting, knit, machine, stitches, needles, yarn, rows, stitch, row, pattern
Topic 1375 (0.00): arms, legs, leg, body, feet, head, left, hands, arm, front
Topic 7 (0.00): approach, strategy, approaches, process, model, adopted, strategies, development, view, practice
Topic 256 (0.00): courts, decision, court, law, review, judicial, jurisdiction, lord, justice, power
Topic 616 (0.00): erosion, soils, rock, water, sea, surface, sand, weathering, rocks, soil
Topic 1154 (0.00): pope, king, church, papal, bishop, archbishop, royal, bishops, clergy, innocent
Topic 739 (0.00): organisation, management, organisations, structure, authority, organisational, managers, control, responsibility, individual
Topic 354 (0.00): political, party, politics, parties, government, system, support, politicians, power, public
Topic 1276 (0.00): million, cent, total, billion, cost, estimated, half, increase, figures, figure
Topic 630 (0.00): assets, profit, accounts, account, accounting, net, balance, company, cost, loss
Topic 1479 (0.00): audit, auditors, institute, companies, accounts, financial, firms, accountants, report, accountancy
Topic 1037 (0.00): community, commission, directive, national, legislation, article, law, market, council, treaty
Topic 599 (0.00): river, water, bridge, bank, boat, rivers, lake, banks, mud, tide
Topic 581 (0.00): father, mother, son, family, boy, daughter, child, brother, died, sons
