Topic 762 (0.00): research, science, department, university, technology, centre, programme, development, institute, industry
Topic 805 (0.00): government, party, labour, conservative, policy, political, policies, conservatives, thatcher, social
Topic 756 (0.00): war, world, military, country, gulf, civil, army, wars, fighting, soldiers
Topic 602 (0.00): party, cent, elections, seats, election, vote, won, parties, democratic, national
Topic 617 (0.00): college, university, professor, oxford, school, students, academic, lecturer, royal, student
Topic 1302 (0.00): chapter, section, book, chapters, discussed, discussion, analysis, main, study, detail
Topic 637 (0.00): patients, disease, colitis, bowel, normal, inflammatory, biopsy, liver, found, serum
Topic 1108 (0.00): difficult, solution, difficulties, situation, future, difficulty, task, question, alternative, remain
Topic 1291 (0.00): painting, art, artist, paintings, artists, painter, drawing, painted, portrait, paint
Topic 21 (0.00): funding, money, funds, grant, fund, government, support, grants, financial, million
Topic 45 (0.00): military, army, coup, government, president, forces, armed, officers, country, attempt
Topic 924 (0.00): charges, court, trial, government, investigation, corruption, scandal, alleged, prison, arrested
Topic 286 (0.00): flowers, plants, garden, plant, flower, leaves, roses, spring, summer, white
Topic 808 (0.00): smiled, time, love, looked, laughed, told, meet, happy, kissed, day
Topic 1227 (0.00): court, told, police, yesterday, trial, heard, crown, found, guilty, murder
Topic 652 (0.00): magazine, article, issue, readers, editor, read, articles, page, letter, journal
Topic 122 (0.00): increase, increased, rate, reduction, reduced, increasing, change, increases, period, decline
Topic 1163 (0.00): windows, program, screen, files, dos, file, software, version, package, disk
Topic 408 (0.00): report, committee, commission, recommendations, reports, published, government, evidence, recommended, review
Topic 1336 (0.00): union, community, treaty, economic, policy, monetary, single, political, countries, common
Topic 334 (0.00): local, government, authorities, councils, services, central, authority, council, county, district
Topic 1120 (0.00): phone, telephone, call, voice, calls, rang, ring, receiver, time, office
Topic 1239 (0.00): care, social, services, community, health, service, people, workers, assessment, residential
Topic 261 (0.00): sales, company, market, products, customers, selling, business, companies, product, marketing
Topic 1000 (0.00): soviet, supreme, republics, republic, union, president, independence, deputies, federation, federal
Topic 664 (0.00): glass, drink, wine, bottle, table, whisky, glasses, drank, brandy, water
Topic 355 (0.00): church, built, palace, building, chapel, cathedral, fine, century, square, house
Topic 1200 (0.00): teachers, schools, teacher, teaching, school, curriculum, education, classroom, development, primary
Topic 686 (0.00): major, minister, thatcher, prime, john, government, party, labour, cabinet, election
Topic 608 (0.00): issues, debate, issue, questions, discussion, public, political, question, policy, concern
Topic 505 (0.00): friends, friend, life, time, met, found, friendship, girl, home, school
Topic 322 (0.00): race, horse, racing, won, jockey, winner, trainer, run, cup, season
Topic 1174 (0.00): party, president, elected, minister, national, political, government, council, elections, assembly
Topic 741 (0.00): empire, roman, century, emperor, imperial, christian, time, power, centuries, rule
Topic 631 (0.00): museum, art, collection, gallery, national, museums, collections, arts, exhibition, paintings
Topic 186 (0.00): tax, income, taxes, taxation, rate, revenue, budget, government, cent, vat
Topic 1186 (0.00): church, catholic, religious, roman, christian, bishops, churches, pope, council, clergy
Topic 1478 (0.00): theatre, play, stage, performance, production, actor, actors, drama, plays, audience
Topic 1463 (0.00): army, officer, military, regiment, soldiers, war, officers, soldier, training, captain
Topic 920 (0.00): policy, policies, government, political, social, economic, public, implementation, governments, national
Topic 61 (0.00): differences, structure, features, pattern, patterns, similar, common, structures, individual, variations
Topic 1199 (0.00): law, legal, laws, legislation, courts, common, act, criminal, rules, statute
Topic 1115 (0.00): murder, death, killed, kill, killing, dead, life, people, murdered, shot
Topic 1069 (0.00): rural, population, urban, cities, towns, growth, people, cent, migration, south
Topic 592 (0.00): students, courses, degree, studies, study, faculty, subjects, honours, university, degrees
Topic 73 (0.00): learning, teaching, skills, students, student, teacher, experience, education, knowledge, teachers
Topic 960 (0.00): boat, deck, water, boats, ship, crew, yacht, sea, sailing, sail
Topic 133 (0.00): word, words, recognition, information, system, input, text, lexicon, processing, corpus
Topic 612 (0.00): women, children, woman, wives, home, married, family, mothers, husbands, employment
Topic 855 (0.00): children, child, parents, adult, adults, age, parent, childhood, family, school
Topic 1266 (0.00): money, charity, raised, fund, raise, people, appeal, local, funds, support
Topic 930 (0.00): president, bush, house, congress, administration, senate, campaign, republican, presidential, bill
Topic 699 (0.00): research, study, social, studies, data, methods, project, researchers, researcher, observation
Topic 802 (0.00): paper, daily, newspaper, press, news, newspapers, times, papers, editor, mail
Topic 934 (0.00): diet, food, foods, sugar, eat, fat, fibre, fruit, vegetables, eating
Topic 327 (0.00): sea, beach, coast, bay, water, sand, island, shore, tide, boat
Topic 1349 (0.00): trade, exports, imports, export, countries, world, market, production, prices, import
Topic 722 (0.00): fear, feelings, anger, feel, people, life, emotions, emotional, feeling, person
Topic 215 (0.00): letter, letters, wrote, write, dear, written, received, hope, send, read
Topic 96 (0.00): people, person, counselling, life, social, counsellor, feelings, feel, family, experience
Topic 601 (0.00): view, opinion, views, expressed, attitude, public, opinions, attitudes, majority, concern
Topic 1398 (0.00): hotel, beach, pool, bar, bedrooms, breakfast, night, single, dinner, terrace
Topic 23 (0.00): expenditure, spending, budget, government, public, cuts, money, billion, increase, financial
Topic 83 (0.00): profits, shares, market, share, cent, yesterday, dividend, sales, trading, stock
Topic 1281 (0.00): information, form, details, date, application, office, required, certificate, copy, address
Topic 395 (0.00): ship, ships, sea, navy, fleet, captain, naval, crew, vessel, vessels
Topic 483 (0.00): school, children, pupils, teachers, teacher, schools, parents, education, primary, pupil
Topic 70 (0.00): party, labour, national, conference, communist, left, policy, movement, parties, support
Topic 823 (0.00): birds, bird, species, wings, nest, food, feathers, owl, fly, breeding
Topic 769 (0.00): minister, cabinet, prime, government, ministers, secretary, office, lord, thatcher, sir
Topic 374 (0.00): army, troops, attack, war, forces, enemy, battle, allied, front, armies
Topic 200 (0.00): police, night, home, attack, house, officers, car, yesterday, street, arrested
Topic 1430 (0.00): rights, human, amnesty, prisoners, government, political, international, prison, death, torture
Topic 1197 (0.00): government, democracy, constitution, parliament, constitutional, political, power, people, system, democratic
Topic 967 (0.00): staff, department, management, manager, training, personnel, senior, service, job, responsibility
Topic 795 (0.00): baby, mother, child, birth, babies, pregnant, born, pregnancy, mothers, women
Topic 881 (0.00): life, experience, spiritual, human, love, god, world, mind, sense, reality
Topic 109 (0.00): police, body, found, murder, inspector, death, dead, detective, missing, sergeant
Topic 959 (0.00): water, clean, clothes, washing, wash, kitchen, hot, dirty, bath, floor
Topic 277 (0.00): add, minutes, oil, cook, pan, pepper, chopped, heat, serve, salt
Topic 728 (0.00): house, home, flat, live, living, cottage, lived, moved, couple, people
Topic 243 (0.00): benefit, income, benefits, social, security, allowance, support, people, supplementary, paid
Topic 1059 (0.00): site, sites, evidence, archaeological, roman, buildings, excavation, settlement, remains, found
Topic 74 (0.00): failure, lack, poor, failed, inadequate, result, failures, due, fail, reasons
Topic 715 (0.00): people, person, lot, live, lives, understand, time, feel, talk, country
Topic 1195 (0.00): killed, police, security, people, government, army, attack, claimed, attacks, forces
Topic 893 (0.00): golf, round, green, hole, shot, play, tour, won, tournament, par
Topic 1157 (0.00): countries, world, international, development, global, developing, economic, aid, country, nations
Topic 50 (0.00): engine, power, rover, rear, front, range, fitted, steering, speed, fuel
Topic 377 (0.00): committee, council, committees, executive, chairman, secretary, body, representatives, officers, board
Topic 517 (0.00): data, values, analysis, distribution, table, calculated, test, results, standard, significant
Topic 1423 (0.00): director, chairman, company, executive, chief, appointed, managing, manager, board, management
Topic 1166 (0.00): knowledge, understanding, experience, skills, understand, ability, people, technical, skill, learn
Topic 877 (0.00): beauty, beautiful, mind, world, life, eyes, love, joy, dream, light
Topic 144 (0.00): poor, poverty, social, people, conditions, living, families, children, unemployment, housing
Topic 240 (0.00): desk, office, door, chair, sat, looked, morning, floor, papers, time
Topic 1264 (0.00): paper, read, written, writing, write, pen, letter, letters, notes, hand
Topic 1354 (0.00): patients, treatment, study, trial, dose, months, placebo, trials, treated, weeks
Topic 130 (0.00): management, managers, manager, people, business, company, profit, job, employees, senior
Topic 84 (0.00): range, design, designed, designs, choice, wide, prices, sizes, price, quality
Topic 1330 (0.00): table, figures, average, figure, total, proportion, statistics, percentage, compared, period
Topic 79 (0.00): price, prices, market, buy, cost, sell, pay, buying, bought, offer
Topic 382 (0.00): company, companies, directors, business, shareholders, corporate, director, limited, management, employees
Topic 134 (0.00): union, trade, unions, industrial, workers, labour, bargaining, relations, employers, collective
Topic 156 (0.00): civil, government, service, department, servants, departments, public, ministers, policy, office
Topic 952 (0.00): education, courses, colleges, college, institutions, universities, students, polytechnics, university, polytechnic
Topic 720 (0.00): housing, council, local, houses, accommodation, tenants, homes, homeless, house, private
Topic 1219 (0.00): health, care, services, patients, service, practice, practitioners, authorities, practices, hospital
Topic 1404 (0.00): hotel, taxi, driver, airport, left, cab, car, waiting, told, flight
Topic 693 (0.00): factors, factor, influence, individual, conditions, environment, nature, importance, level, extent
Topic 541 (0.00): countryside, conservation, national, nature, wildlife, environment, environmental, trust, land, sites
Topic 859 (0.00): tears, pain, life, death, grief, cry, feeling, suffering, anger, crying
Topic 905 (0.00): aircraft, plane, pilot, flying, flight, air, fly, landing, airport, runway
Topic 86 (0.00): colour, red, blue, colours, white, green, yellow, black, light, dark
Topic 624 (0.00): patients, patient, liver, bleeding, treatment, surgery, cardiac, coronary, acute, disease
Topic 1164 (0.00): conference, held, international, seminar, delegates, details, meeting, university, institute, conferences
Topic 1073 (0.00): peasants, peasant, government, land, tsar, peasantry, reform, local, political, nobility
Topic 1394 (0.00): minister, affairs, cabinet, prime, ministers, foreign, deputy, education, industry, finance
