Topic 5 (0.00): farmers, farm, agricultural, agriculture, farming, land, farms, farmer, production, rural
Topic 329 (0.00): church, century, cathedral, built, churches, building, nave, buildings, stone, columns
Topic 1404 (0.00): taxi, hotel, driver, airport, left, cab, waiting, car, flight, told
Topic 1241 (0.00): strike, union, workers, unions, action, trade, industrial, dispute, strikes, government
Topic 1047 (0.00): job, career, jobs, people, recruitment, experience, training, employment, qualifications, employers
Topic 719 (0.00): people, person, talk, feel, talking, listen, time, listening, situation, ideas
Topic 486 (0.00): television, programme, news, radio, programmes, viewers, live, people, coverage, series
Topic 86 (0.00): colour, red, blue, colours, white, green, yellow, black, light, dark
Topic 393 (0.00): chemical, carbon, oxygen, organic, molecules, chemistry, compounds, hydrogen, water, form
Topic 1231 (0.00): care, people, home, elderly, homes, residential, carers, community, services, social
Topic 416 (0.00): gene, expression, genes, sequence, human, sequences, protein, cells, shown, fragment
Topic 1073 (0.00): peasants, peasant, government, land, tsar, peasantry, reform, local, nobility, political
Topic 571 (0.00): oxford, people, reports, pounds, hundred, ago, thousand, home, smith, tonight
Topic 1043 (0.00): demand, money, rate, supply, real, curve, wage, labour, unemployment, inflation
Topic 629 (0.00): money, week, pay, paid, day, buy, home, job, cost, food
Topic 407 (0.00): bill, house, government, committee, debate, legislation, parliament, commons, time, amendment
Topic 1039 (0.00): environmental, pollution, environment, emissions, air, dioxide, sulphur, carbon, acid, rain
Topic 108 (0.00): council, county, local, councillors, town, councillor, district, committee, borough, meeting
Topic 314 (0.00): cost, marginal, market, price, costs, firm, firms, output, social, efficiency
Topic 222 (0.00): god, fairy, ghost, story, evil, woman, earth, world, legend, night
Topic 1345 (0.00): moral, morality, society, ethical, human, values, view, ethics, principles, morally
Topic 680 (0.00): political, power, bureaucracy, elite, government, society, control, elites, institutions, public
Topic 388 (0.00): modules, national, certificate, centres, qualifications, development, courses, assessment, vocational, awards
Topic 451 (0.00): intelligence, maxim, secret, agents, security, operation, information, service, war, agent
Topic 310 (0.00): building, floor, roof, space, main, buildings, wall, windows, entrance, built
Topic 1095 (0.00): film, films, cinema, production, movies, director, television, screen, movie, industry
Topic 901 (0.00): guitar, sound, bass, guitars, neck, amp, sounds, playing, strings, tone
Topic 1392 (0.00): growth, productivity, rate, output, labour, prices, increase, cent, capital, investment
Topic 950 (0.00): computer, software, computers, program, programs, machine, system, information, data, machines
Topic 771 (0.00): aids, virus, infection, disease, infected, diseases, hepatitis, blood, people, health
Topic 598 (0.00): library, libraries, books, stock, public, collection, book, librarian, librarians, collections
Topic 954 (0.00): purchaser, vendor, sale, business, information, agreement, completion, mas, acquisition, warranties
Topic 102 (0.00): community, local, people, communities, education, social, development, participation, action, adult
Topic 1082 (0.00): cells, minutes, samples, buffer, solution, antibody, serum, added, cell, sections
Topic 1107 (0.00): gun, shot, fire, guns, fired, shooting, hit, rifle, shots, shoot
Topic 910 (0.00): students, university, student, college, education, universities, academic, study, campus, courses
Topic 838 (0.00): exchange, rate, currency, rates, sterling, dollar, currencies, foreign, monetary, pound
Topic 467 (0.00): story, fiction, book, novels, characters, reader, narrative, writer, writing, character
Topic 1053 (0.00): science, scientific, scientists, scientist, research, knowledge, world, theory, sciences, chemistry
Topic 984 (0.00): language, languages, linguistic, learning, spoken, foreign, written, knowledge, teaching, standard
Topic 1494 (0.00): holiday, travel, holidays, booking, accommodation, hotel, time, price, brochure, details
Topic 196 (0.00): language, discourse, meaning, linguistic, grammar, context, sentences, sentence, analysis, structure
Topic 250 (0.00): railway, steam, line, train, locomotive, station, trains, class, locomotives, railways
Topic 970 (0.00): business, businesses, companies, company, industry, commercial, enterprise, trade, firms, financial
Topic 1284 (0.00): god, christian, theology, bible, human, testament, religion, history, church, faith
Topic 498 (0.00): site, development, planning, council, plans, building, local, land, build, scheme
Topic 392 (0.00): race, racing, team, championship, world, grand, car, season, formula, driver
Topic 462 (0.00): train, station, railway, platform, trains, car, passengers, journey, line, carriage
Topic 414 (0.00): bank, banks, money, market, deposits, bills, rates, discount, assets, financial
Topic 441 (0.00): depression, mental, illness, symptoms, disorder, schizophrenia, psychiatric, psychological, physical, behaviour
Topic 793 (0.00): courses, day, sessions, contact, training, information, programme, centre, workshop, local
Topic 1396 (0.00): party, congress, communist, committee, central, political, democratic, politburo, people, secretary
Topic 1055 (0.00): festival, theatre, music, arts, hall, tickets, concert, events, centre, programme
