Topic 505 (0.00): friends, friend, life, time, met, found, home, friendship, left, company
Topic 741 (0.00): empire, roman, century, emperor, imperial, christian, centuries, power, rule, history
Topic 686 (0.00): major, minister, thatcher, prime, john, government, party, labour, cabinet, election
Topic 592 (0.00): students, courses, degree, studies, study, faculty, subjects, honours, degrees, university
Topic 699 (0.00): research, study, social, studies, data, methods, project, researchers, researcher, observation
Topic 920 (0.00): policy, policies, government, political, public, social, economic, implementation, governments, issues
Topic 61 (0.00): differences, structure, features, pattern, similar, patterns, common, structures, form, variations
Topic 960 (0.00): boat, deck, water, boats, ship, crew, yacht, sea, sailing, sail
Topic 133 (0.00): words, word, recognition, information, system, input, text, lexicon, processing, corpus
Topic 1463 (0.00): army, officer, military, regiment, soldiers, war, officers, training, soldier, captain
Topic 73 (0.00): learning, teaching, skills, students, student, teacher, experience, education, knowledge, learner
Topic 855 (0.00): children, child, parents, adult, adults, age, parent, family, school, childhood
Topic 930 (0.00): president, bush, house, congress, senate, campaign, administration, republican, white, presidential
Topic 934 (0.00): diet, food, foods, sugar, eat, fat, fibre, fruit, vegetables, eating
Topic 1069 (0.00): rural, population, urban, cities, towns, growth, people, migration, cent, south
Topic 327 (0.00): sea, beach, coast, bay, water, sand, island, shore, tide, boat
Topic 23 (0.00): expenditure, spending, budget, government, public, cuts, money, billion, financial, increase
Topic 722 (0.00): fear, feelings, anger, feel, people, emotions, life, emotional, feeling, love
Topic 96 (0.00): people, person, counselling, life, counsellor, social, feel, feelings, loss, experience
Topic 802 (0.00): daily, paper, press, newspaper, newspapers, news, papers, times, editor, sun
Topic 1266 (0.00): money, raised, charity, fund, raise, appeal, people, funds, support, local
Topic 1281 (0.00): information, form, details, office, date, application, required, certificate, copy, address
Topic 612 (0.00): women, children, woman, wives, married, home, family, mothers, husbands, domestic
Topic 395 (0.00): ship, ships, sea, navy, fleet, captain, naval, crew, shipping, vessel
Topic 1398 (0.00): hotel, beach, pool, bar, bedrooms, breakfast, night, restaurant, single, private
Topic 1349 (0.00): trade, exports, imports, export, countries, world, market, production, prices, import
Topic 374 (0.00): army, troops, war, attack, forces, enemy, battle, allied, front, line
Topic 83 (0.00): profits, shares, market, share, cent, yesterday, trading, dividend, stock, sales
Topic 483 (0.00): school, children, pupils, schools, teacher, teachers, parents, education, primary, pupil
Topic 200 (0.00): police, night, home, attack, officers, car, house, yesterday, incident, street
Topic 70 (0.00): party, labour, national, conference, communist, policy, left, movement, government, support
Topic 823 (0.00): birds, bird, species, wings, nest, feathers, food, owl, fly, owls
Topic 601 (0.00): view, opinion, views, expressed, attitude, public, opinions, attitudes, majority, personal
Topic 769 (0.00): minister, cabinet, prime, government, ministers, secretary, office, lord, thatcher, sir
Topic 1195 (0.00): killed, police, people, security, government, attack, army, attacks, claimed, reported
Topic 1430 (0.00): rights, human, amnesty, government, prisoners, international, political, prison, death, torture
Topic 715 (0.00): people, person, live, lot, lives, understand, world, life, talk, feel
Topic 1197 (0.00): government, democracy, constitution, parliament, political, constitutional, power, people, system, democratic
Topic 967 (0.00): staff, department, management, manager, service, personnel, training, senior, job, responsibility
Topic 959 (0.00): water, clean, clothes, washing, wash, kitchen, dirty, bed, floor, bath
Topic 215 (0.00): letter, letters, wrote, write, dear, written, received, send, hope, reply
Topic 795 (0.00): baby, child, mother, birth, babies, pregnant, born, pregnancy, mothers, months
Topic 243 (0.00): benefit, income, benefits, social, security, allowance, support, people, supplementary, paid
Topic 881 (0.00): life, experience, spiritual, human, love, god, world, mind, nature, sense
Topic 877 (0.00): beauty, beautiful, world, mind, life, eyes, light, joy, dream, love
Topic 893 (0.00): golf, round, hole, green, shot, play, tour, tournament, won, par
Topic 1157 (0.00): countries, world, international, development, global, developing, aid, economic, country, nations
Topic 277 (0.00): add, minutes, oil, cook, pan, pepper, serve, chopped, salt, heat
Topic 109 (0.00): police, body, found, murder, inspector, death, dead, missing, sergeant, detective
Topic 50 (0.00): engine, power, rover, rear, front, fitted, range, speed, steering, car
Topic 1059 (0.00): sites, site, roman, evidence, archaeological, buildings, settlement, excavation, remains, found
Topic 728 (0.00): house, home, live, flat, living, cottage, people, family, lived, moved
Topic 240 (0.00): desk, office, door, chair, sat, morning, looked, papers, time, floor
Topic 74 (0.00): failure, lack, poor, inadequate, failed, result, failures, reasons, due, fail
Topic 1423 (0.00): director, chairman, executive, company, chief, appointed, managing, manager, board, business
Topic 1166 (0.00): knowledge, experience, understanding, skills, people, understand, ability, technical, learn, skill
Topic 377 (0.00): committee, council, committees, executive, chairman, body, secretary, policy, officers, representatives
Topic 130 (0.00): management, managers, manager, people, business, company, profit, job, employees, senior
Topic 1354 (0.00): patients, treatment, study, trial, dose, placebo, months, trials, treated, weeks
Topic 517 (0.00): data, values, analysis, distribution, table, calculated, results, test, significant, standard
Topic 144 (0.00): poor, poverty, social, people, conditions, living, families, unemployment, children, housing
Topic 1264 (0.00): paper, read, written, letter, writing, pen, write, letters, notes, hand
Topic 1330 (0.00): table, figures, average, figure, total, proportion, statistics, percentage, data, compared
Topic 84 (0.00): range, design, designed, designs, wide, products, choice, price, prices, includes
Topic 382 (0.00): company, companies, directors, business, shareholders, corporate, director, limited, management, employees
Topic 134 (0.00): union, trade, unions, industrial, workers, bargaining, labour, relations, employers, collective
Topic 1219 (0.00): health, care, services, patients, service, practice, practitioners, authorities, practices, hospital
Topic 952 (0.00): education, courses, colleges, college, universities, institutions, students, polytechnics, university, polytechnic
Topic 156 (0.00): civil, government, service, department, servants, departments, public, ministers, policy, minister
Topic 79 (0.00): price, prices, market, buy, cost, sell, pay, bought, buying, offer
Topic 720 (0.00): housing, local, council, houses, accommodation, tenants, homes, homeless, people, house
Topic 859 (0.00): tears, pain, life, death, cry, grief, anger, crying, feeling, time
Topic 1394 (0.00): minister, affairs, cabinet, prime, foreign, ministers, deputy, education, defence, industry
Topic 439 (0.00): west, land, colonial, century, colonies, people, population, trade, south, peoples
Topic 86 (0.00): colour, red, colours, blue, white, green, yellow, black, light, dark
Topic 693 (0.00): factors, factor, influence, individual, conditions, environment, nature, degree, importance, level
Topic 624 (0.00): patients, patient, liver, treatment, bleeding, surgery, acute, cardiac, failure, disease
Topic 1164 (0.00): conference, held, international, seminar, details, delegates, meeting, institute, university, conferences
Topic 1241 (0.00): strike, union, workers, unions, action, industrial, trade, strikes, dispute, government
Topic 1404 (0.00): hotel, taxi, driver, airport, left, cab, car, waiting, time, minutes
Topic 905 (0.00): aircraft, plane, pilot, flying, flight, air, fly, landing, airport, runway
Topic 541 (0.00): countryside, conservation, national, nature, wildlife, environmental, environment, trust, land, sites
Topic 1025 (0.00): shop, shops, store, stores, shopping, customers, buy, street, people, sell
Topic 1073 (0.00): peasants, peasant, government, land, tsar, peasantry, reform, local, nobility, political
Topic 1047 (0.00): job, career, jobs, training, recruitment, people, experience, employment, qualifications, employers
Topic 403 (0.00): culture, cultural, society, world, western, cultures, values, life, modern, social
Topic 719 (0.00): people, person, talk, feel, talking, time, listen, listening, feelings, ideas
Topic 774 (0.00): century, land, local, poor, population, parish, labourers, wealth, rural, farmers
Topic 5 (0.00): farmers, farm, agricultural, agriculture, farming, land, farms, farmer, production, rural
Topic 329 (0.00): church, cathedral, century, built, churches, building, nave, buildings, stone, architecture
Topic 486 (0.00): television, programme, news, radio, programmes, people, viewers, live, coverage, series
Topic 393 (0.00): chemical, carbon, oxygen, organic, molecules, chemistry, compounds, hydrogen, water, form
Topic 1043 (0.00): demand, money, rate, supply, curve, real, wage, level, unemployment, labour
Topic 1345 (0.00): moral, society, morality, ethical, human, values, people, ethics, principles, view
Topic 1231 (0.00): care, people, home, elderly, homes, residential, carers, community, caring, social
Topic 629 (0.00): money, week, pay, paid, day, home, job, buy, cost, food
Topic 416 (0.00): gene, expression, genes, sequence, sequences, human, protein, cells, shown, fragment
Topic 571 (0.00): oxford, people, reports, pounds, hundred, ago, thousand, tonight, john, home
Topic 680 (0.00): political, power, bureaucracy, elite, government, elites, public, society, institutions, control
Topic 950 (0.00): computer, software, computers, program, programs, machine, data, information, machines, system
Topic 310 (0.00): building, floor, roof, buildings, space, main, entrance, built, ground, windows
Topic 1039 (0.00): environmental, pollution, environment, emissions, air, sulphur, dioxide, carbon, acid, rain
Topic 1053 (0.00): science, scientific, scientists, scientist, research, world, knowledge, theory, sciences, natural
Topic 407 (0.00): bill, house, government, committee, debate, legislation, parliament, commons, amendment, time
Topic 838 (0.00): exchange, rate, currency, rates, sterling, dollar, currencies, monetary, foreign, markets
Topic 910 (0.00): students, university, student, college, education, universities, academic, study, campus, staff
Topic 388 (0.00): modules, national, certificate, centres, development, qualifications, courses, assessment, vocational, awards
Topic 108 (0.00): council, county, local, councillors, town, councillor, district, borough, committee, meeting
Topic 222 (0.00): fairy, ghost, god, story, earth, evil, woman, legend, night, stories
Topic 1107 (0.00): gun, shot, fired, guns, fire, shooting, shoot, rifle, hit, shots
Topic 1082 (0.00): cells, samples, minutes, buffer, antibody, cell, solution, added, sections, incubated
Topic 771 (0.00): aids, virus, infection, disease, infected, hepatitis, diseases, blood, people, risk
Topic 1095 (0.00): film, films, cinema, production, movies, director, television, screen, audience, movie
Topic 901 (0.00): guitar, sound, bass, guitars, neck, amp, sounds, strings, playing, guitarist
Topic 1055 (0.00): festival, theatre, music, arts, hall, tickets, centre, concert, programme, events
Topic 984 (0.00): language, languages, linguistic, learning, spoken, foreign, written, knowledge, teaching, standard
Topic 451 (0.00): intelligence, maxim, secret, security, agents, information, operation, service, government, agent
Topic 970 (0.00): business, businesses, companies, company, commercial, industry, enterprise, financial, management, trade
