Topic 624 (0.00): patients, patient, liver, treatment, bleeding, surgery, months, acute, cardiac, coronary
Topic 486 (0.00): television, programme, news, radio, programmes, people, viewers, live, series, coverage
Topic 905 (0.00): aircraft, plane, pilot, flying, flight, air, fly, airport, landing, runway
Topic 1025 (0.00): shop, shops, store, stores, shopping, customers, buy, street, people, sell
Topic 1394 (0.00): minister, affairs, cabinet, prime, ministers, foreign, education, deputy, national, defence
Topic 774 (0.00): century, land, local, population, poor, parish, wealth, labourers, rural, towns
Topic 1164 (0.00): conference, held, international, seminar, delegates, details, meeting, institute, university, programme
Topic 1073 (0.00): peasants, peasant, government, land, tsar, peasantry, reform, political, local, nobility
Topic 541 (0.00): countryside, conservation, national, nature, wildlife, environmental, trust, environment, land, sites
Topic 1047 (0.00): job, jobs, career, training, recruitment, employment, experience, people, qualifications, employers
Topic 329 (0.00): church, cathedral, century, built, churches, building, nave, buildings, stone, columns
Topic 439 (0.00): people, land, west, colonies, colonial, century, south, population, trade, peoples
Topic 1241 (0.00): strike, union, workers, unions, action, industrial, trade, dispute, strikes, government
Topic 1231 (0.00): care, people, home, elderly, homes, residential, carers, community, services, social
Topic 1043 (0.00): demand, money, rate, supply, real, curve, wage, unemployment, level, labour
Topic 403 (0.00): culture, cultural, society, world, western, cultures, modern, values, life, social
Topic 571 (0.00): oxford, people, reports, pounds, hundred, thousand, ago, john, smith, home
Topic 393 (0.00): chemical, carbon, oxygen, organic, molecules, chemistry, compounds, hydrogen, water, form
Topic 5 (0.00): farmers, farm, agricultural, agriculture, farming, land, farms, farmer, production, rural
Topic 1345 (0.00): moral, morality, society, human, ethical, values, view, ethics, morally, principles
Topic 719 (0.00): people, person, feel, talk, talking, listen, listening, time, ideas, feelings
Topic 416 (0.00): gene, expression, genes, sequence, human, sequences, protein, cells, shown, fragment
Topic 629 (0.00): money, week, pay, paid, day, buy, job, cost, food, home
Topic 407 (0.00): bill, house, government, committee, debate, legislation, parliament, commons, amendment, time
Topic 680 (0.00): political, power, bureaucracy, elite, government, society, institutions, public, elites, control
Topic 314 (0.00): cost, market, marginal, price, costs, firm, firms, output, prices, social
Topic 102 (0.00): community, local, people, education, communities, development, social, participation, action, adult
Topic 910 (0.00): students, university, student, college, education, academic, universities, study, campus, courses
Topic 1095 (0.00): film, films, cinema, production, movies, director, television, screen, movie, audience
Topic 222 (0.00): god, ghost, fairy, earth, evil, story, death, world, night, legend
Topic 388 (0.00): modules, national, certificate, centres, development, qualifications, courses, assessment, vocational, awards
Topic 310 (0.00): building, floor, space, roof, buildings, main, entrance, ground, wall, built
Topic 451 (0.00): intelligence, maxim, secret, security, agents, service, information, operation, agent, embassy
Topic 838 (0.00): exchange, currency, rate, rates, sterling, dollar, currencies, monetary, foreign, countries
Topic 1055 (0.00): festival, theatre, music, arts, hall, tickets, concert, centre, programme, events
Topic 950 (0.00): computer, software, computers, program, programs, machine, data, system, information, machines
Topic 1039 (0.00): environmental, pollution, environment, air, emissions, sulphur, dioxide, carbon, acid, rain
Topic 901 (0.00): guitar, sound, bass, guitars, neck, amp, sounds, playing, strings, tone
Topic 108 (0.00): council, county, local, councillors, councillor, town, district, borough, committee, meeting
Topic 467 (0.00): story, fiction, book, novels, characters, reader, narrative, writing, writer, character
Topic 1053 (0.00): science, scientific, scientists, scientist, research, knowledge, world, sciences, natural, chemistry
Topic 1107 (0.00): gun, shot, fired, guns, fire, shooting, hit, rifle, firing, shots
Topic 954 (0.00): purchaser, vendor, sale, business, information, completion, agreement, mas, letter, client
Topic 970 (0.00): business, businesses, companies, company, commercial, industry, enterprise, trade, firms, financial
Topic 771 (0.00): aids, virus, infection, disease, infected, diseases, hepatitis, blood, people, risk
Topic 1082 (0.00): cells, minutes, samples, buffer, antibody, solution, cell, serum, added, sections
Topic 1392 (0.00): growth, productivity, rate, labour, output, prices, cent, increase, capital, investment
Topic 196 (0.00): language, discourse, meaning, linguistic, grammar, context, sentences, sentence, structure, analysis
Topic 984 (0.00): language, languages, linguistic, spoken, learning, foreign, written, teaching, standard, knowledge
Topic 598 (0.00): library, libraries, books, stock, public, book, librarian, librarians, collection, collections
Topic 414 (0.00): bank, banks, money, market, deposits, bills, rates, discount, assets, financial
Topic 392 (0.00): race, racing, team, world, championship, grand, car, season, formula, driver
Topic 462 (0.00): train, station, railway, platform, trains, car, passengers, journey, line, carriage
Topic 441 (0.00): depression, mental, illness, symptoms, disorder, psychiatric, schizophrenia, psychological, loss, physical
Topic 1396 (0.00): party, congress, communist, committee, central, political, democratic, people, secretary, politburo
Topic 1494 (0.00): holiday, travel, holidays, booking, accommodation, hotel, price, details, brochure, tour
Topic 739 (0.00): organisation, management, organisations, structure, authority, organisational, managers, responsibility, control, individual
Topic 498 (0.00): site, development, planning, local, council, plans, building, land, scheme, build
Topic 1104 (0.00): education, training, compact, development, enterprise, industry, partnership, employers, students, experience
Topic 793 (0.00): courses, training, day, sessions, contact, information, local, programme, centre, run
Topic 78 (0.00): music, song, singing, songs, sing, played, playing, play, piano, sang
Topic 250 (0.00): railway, steam, line, locomotive, train, station, trains, class, locomotives, railways
Topic 1079 (0.00): soil, crops, crop, land, wheat, farmers, grass, seed, grown, growing
Topic 616 (0.00): soils, surface, erosion, rock, water, sea, sand, weathering, soil, material
Topic 1139 (0.00): church, bishop, parish, priest, father, mass, vicar, diocese, priests, catholic
Topic 1284 (0.00): god, christian, theology, bible, testament, human, history, religion, church, world
Topic 1276 (0.00): million, cent, total, billion, cost, estimated, half, increase, figures, annual
Topic 256 (0.00): courts, decision, court, law, review, judicial, jurisdiction, lord, power, justice
Topic 1155 (0.00): systems, design, system, development, techniques, expert, computer, engineering, analysis, technology
Topic 813 (0.00): knitting, knit, machine, stitches, needles, yarn, rows, stitch, row, pattern
