Topic 805 (0.00): party, government, labour, conservative, political, policy, policies, conservatives, election, thatcher
Topic 885 (0.00): lady, lord, sir, dear, miss, prince, madam, woman, hand, gentleman
Topic 762 (0.00): research, science, department, university, technology, centre, programme, institute, development, industry
Topic 1291 (0.00): painting, art, artist, paintings, artists, drawing, painter, painted, portrait, paint
Topic 756 (0.00): war, world, military, country, civil, gulf, army, wars, battle, peace
Topic 122 (0.00): increase, increased, rate, reduction, increasing, reduced, period, change, effect, increases
Topic 637 (0.00): patients, disease, colitis, bowel, normal, inflammatory, biopsy, intestinal, found, chronic
Topic 808 (0.00): love, time, smiled, looked, told, laughed, happy, meet, kissed, hand
Topic 21 (0.00): funding, funds, money, support, grant, government, fund, grants, financial, council
Topic 924 (0.00): charges, trial, court, investigation, government, scandal, corruption, alleged, arrested, police
Topic 45 (0.00): military, army, coup, government, forces, president, armed, officers, country, panama
Topic 664 (0.00): glass, drink, wine, bottle, table, whisky, glasses, drank, poured, brandy
Topic 1163 (0.00): windows, program, screen, files, dos, file, software, version, package, word
Topic 1302 (0.00): chapter, section, chapters, discussed, book, discussion, analysis, main, study, detail
Topic 1336 (0.00): union, community, treaty, economic, policy, monetary, single, common, political, countries
Topic 1227 (0.00): court, told, police, yesterday, trial, heard, crown, guilty, found, murder
Topic 261 (0.00): sales, company, market, products, customers, business, selling, companies, product, marketing
Topic 334 (0.00): local, government, authorities, councils, services, central, authority, council, county, district
Topic 1120 (0.00): phone, telephone, call, voice, calls, rang, ring, receiver, time, office
Topic 652 (0.00): magazine, article, issue, readers, editor, read, articles, page, letter, write
Topic 1239 (0.00): care, social, services, community, health, service, people, workers, assessment, residential
Topic 1000 (0.00): soviet, supreme, republics, republic, union, president, independence, deputies, federation, congress
Topic 1200 (0.00): teachers, schools, teacher, teaching, school, curriculum, education, classroom, development, primary
Topic 505 (0.00): friends, friend, life, met, time, found, home, friendship, girls, school
Topic 355 (0.00): church, built, palace, building, chapel, cathedral, fine, house, square, century
Topic 408 (0.00): report, committee, commission, recommendations, reports, published, government, evidence, recommended, review
Topic 322 (0.00): race, horse, racing, jockey, won, winner, trainer, cup, run, national
Topic 741 (0.00): empire, roman, century, emperor, imperial, christian, centuries, power, rule, time
Topic 1174 (0.00): party, president, elected, minister, national, government, political, council, elections, assembly
Topic 608 (0.00): issues, debate, issue, questions, discussion, public, political, question, social, concern
Topic 686 (0.00): major, minister, thatcher, prime, john, government, party, labour, cabinet, chancellor
Topic 1186 (0.00): church, catholic, roman, religious, bishops, pope, churches, christian, archbishop, clergy
Topic 631 (0.00): museum, art, collection, gallery, national, museums, collections, paintings, arts, exhibition
Topic 1478 (0.00): theatre, play, stage, production, performance, actor, actors, drama, plays, audience
Topic 1463 (0.00): army, officer, military, regiment, war, soldiers, officers, soldier, training, captain
Topic 61 (0.00): differences, structure, pattern, similar, features, common, patterns, structures, variations, individual
Topic 186 (0.00): tax, income, taxes, taxation, government, revenue, rate, budget, cent, pay
Topic 592 (0.00): students, courses, degree, studies, study, faculty, subjects, honours, degrees, management
Topic 960 (0.00): boat, deck, water, boats, ship, crew, yacht, sea, sail, cabin
Topic 920 (0.00): policy, policies, government, political, social, economic, public, governments, implementation, issues
Topic 1266 (0.00): money, raised, charity, raise, people, fund, appeal, local, funds, support
Topic 802 (0.00): daily, paper, press, newspaper, news, newspapers, papers, times, editor, story
Topic 612 (0.00): women, children, woman, married, wives, family, home, mothers, husbands, employment
Topic 855 (0.00): children, child, parents, adult, adults, age, parent, school, childhood, home
Topic 1199 (0.00): law, legal, laws, courts, act, legislation, common, criminal, rules, statute
Topic 73 (0.00): learning, teaching, skills, students, student, teacher, experience, education, knowledge, learner
Topic 1115 (0.00): murder, killed, death, kill, killing, dead, people, life, shot, murdered
Topic 934 (0.00): diet, food, foods, sugar, eat, fat, fibre, fruit, vegetables, eating
Topic 930 (0.00): president, bush, house, congress, administration, senate, campaign, republican, white, presidential
Topic 699 (0.00): research, study, social, studies, data, methods, project, researcher, researchers, observation
Topic 722 (0.00): fear, feelings, anger, feel, people, life, emotions, emotional, love, feeling
Topic 1069 (0.00): rural, population, urban, cities, towns, growth, people, migration, cent, city
Topic 133 (0.00): word, words, recognition, information, system, input, text, lexicon, processing, corpus
Topic 23 (0.00): expenditure, spending, budget, government, public, cuts, money, billion, financial, increase
Topic 96 (0.00): people, person, life, counselling, counsellor, social, feel, feelings, family, experience
Topic 1349 (0.00): trade, exports, imports, export, countries, world, production, market, prices, products
Topic 395 (0.00): ship, ships, sea, navy, fleet, captain, naval, crew, vessel, coast
Topic 327 (0.00): sea, beach, coast, sand, bay, water, island, shore, tide, boat
Topic 215 (0.00): letter, letters, wrote, write, dear, written, received, hope, send, read
Topic 601 (0.00): view, opinion, views, expressed, attitude, public, opinions, attitudes, majority, people
Topic 823 (0.00): birds, bird, species, wings, nest, food, feathers, owl, fly, breeding
Topic 1398 (0.00): hotel, pool, bar, beach, bedrooms, breakfast, night, single, dinner, private
Topic 1281 (0.00): form, information, details, application, date, office, required, certificate, copy, send
Topic 200 (0.00): police, night, home, attack, house, car, officers, yesterday, people, incident
Topic 483 (0.00): school, children, pupils, teachers, schools, teacher, parents, education, primary, pupil
Topic 374 (0.00): army, war, troops, attack, enemy, allied, battle, forces, front, armies
Topic 70 (0.00): party, labour, national, communist, conference, movement, left, policy, parties, government
Topic 1195 (0.00): killed, government, people, police, security, attack, attacks, army, claimed, forces
Topic 959 (0.00): water, clean, clothes, washing, wash, kitchen, dirty, floor, dry, hot
Topic 881 (0.00): life, experience, spiritual, human, god, love, world, nature, mind, sense
Topic 83 (0.00): profits, shares, market, share, cent, yesterday, dividend, trading, stock, index
Topic 243 (0.00): benefit, income, benefits, social, security, support, people, allowance, supplementary, system
Topic 109 (0.00): police, body, found, murder, inspector, death, dead, missing, detective, sergeant
Topic 715 (0.00): people, person, lot, live, lives, feel, life, country, understand, talk
Topic 1197 (0.00): government, constitution, democracy, parliament, constitutional, political, power, people, democratic, system
Topic 50 (0.00): engine, power, rover, rear, front, range, fitted, speed, steering, fuel
Topic 795 (0.00): baby, mother, child, birth, babies, pregnant, born, pregnancy, mothers, women
Topic 74 (0.00): failure, lack, poor, inadequate, failed, result, failures, due, difficult, reasons
Topic 769 (0.00): minister, cabinet, prime, government, ministers, secretary, office, sir, lord, thatcher
Topic 967 (0.00): staff, department, management, manager, personnel, training, senior, job, service, managers
Topic 277 (0.00): add, minutes, oil, cook, pan, pepper, chopped, heat, serve, salt
Topic 893 (0.00): golf, round, green, hole, shot, play, tour, tournament, won, par
Topic 1430 (0.00): rights, human, amnesty, prisoners, international, government, political, torture, prison, released
Topic 877 (0.00): beauty, beautiful, world, mind, life, eyes, dream, light, day, joy
Topic 728 (0.00): house, home, live, flat, living, cottage, lived, moved, family, couple
Topic 517 (0.00): data, values, analysis, distribution, calculated, table, results, test, statistical, significant
Topic 1157 (0.00): countries, world, international, global, development, developing, country, economic, aid, nations
Topic 1059 (0.00): site, sites, roman, evidence, archaeological, buildings, settlement, excavation, found, remains
Topic 1264 (0.00): paper, read, written, write, letter, writing, letters, pen, notes, hand
Topic 240 (0.00): desk, office, door, chair, sat, morning, looked, papers, floor, time
Topic 1423 (0.00): director, chairman, executive, company, chief, appointed, managing, manager, board, business
Topic 1166 (0.00): knowledge, understanding, experience, skills, ability, understand, people, technical, skill, process
Topic 377 (0.00): committee, council, committees, executive, chairman, officers, body, representatives, secretary, policy
Topic 144 (0.00): poor, poverty, social, people, conditions, living, families, children, unemployment, housing
Topic 134 (0.00): union, trade, unions, industrial, workers, labour, bargaining, relations, employers, collective
Topic 1354 (0.00): patients, treatment, study, trial, dose, placebo, months, trials, weeks, disease
Topic 79 (0.00): price, prices, market, buy, cost, pay, sell, buying, sold, bought
Topic 130 (0.00): management, managers, manager, people, business, company, profit, job, employees, senior
Topic 382 (0.00): company, companies, directors, business, shareholders, corporate, limited, director, management, employees
Topic 1219 (0.00): health, care, services, patients, service, practice, practitioners, authorities, practices, hospital
Topic 156 (0.00): civil, government, service, department, servants, departments, public, ministers, policy, office
Topic 1330 (0.00): table, figures, average, total, figure, proportion, statistics, compared, percentage, data
Topic 84 (0.00): range, design, designed, designs, wide, prices, choice, sizes, quality, price
Topic 952 (0.00): education, courses, colleges, college, institutions, universities, students, polytechnics, university, polytechnic
Topic 720 (0.00): housing, local, council, houses, accommodation, tenants, homes, homeless, private, authorities
Topic 693 (0.00): factors, factor, influence, individual, environment, conditions, importance, degree, nature, affect
Topic 86 (0.00): colour, red, blue, colours, white, green, yellow, black, light, dark
Topic 1025 (0.00): shop, shops, store, stores, shopping, customers, buy, street, sell, customer
Topic 624 (0.00): patients, patient, liver, treatment, bleeding, surgery, acute, failure, cardiac, coronary
Topic 1394 (0.00): minister, affairs, cabinet, prime, ministers, foreign, deputy, education, defence, industry
Topic 1404 (0.00): hotel, taxi, driver, airport, car, left, cab, waiting, flight, told
Topic 541 (0.00): countryside, national, conservation, nature, wildlife, trust, environment, environmental, land, natural
Topic 1073 (0.00): peasants, peasant, government, land, tsar, peasantry, reform, local, political, nobility
Topic 774 (0.00): century, land, local, parish, poor, population, wealth, labourers, rural, farmers
Topic 1241 (0.00): strike, union, workers, unions, action, industrial, trade, dispute, strikes, government
Topic 629 (0.00): money, week, pay, paid, day, job, home, buy, cost, food
Topic 905 (0.00): aircraft, plane, pilot, flying, flight, air, fly, landing, airport, runway
Topic 329 (0.00): church, cathedral, century, built, churches, building, nave, columns, buildings, architecture
Topic 403 (0.00): culture, cultural, society, world, western, modern, values, cultures, social, life
Topic 5 (0.00): farmers, farm, agricultural, agriculture, farming, farms, land, farmer, production, food
Topic 1164 (0.00): conference, held, international, seminar, delegates, details, meeting, conferences, institute, university
Topic 486 (0.00): television, programme, news, radio, programmes, series, people, viewers, coverage, live
Topic 859 (0.00): tears, life, pain, grief, death, cry, crying, feeling, anger, suffering
Topic 571 (0.00): oxford, people, reports, pounds, hundred, thousand, ago, country, john, smith
Topic 439 (0.00): west, land, colonial, people, colonies, century, south, trade, population, peoples
Topic 1043 (0.00): demand, money, rate, supply, curve, real, wage, level, labour, unemployment
Topic 1231 (0.00): care, people, home, homes, elderly, residential, carers, services, community, social
Topic 719 (0.00): people, person, talk, feel, talking, time, listen, listening, difficult, ideas
Topic 102 (0.00): community, local, people, communities, education, social, development, participation, adult, support
Topic 680 (0.00): political, power, bureaucracy, elite, government, institutions, elites, society, control, public
Topic 1107 (0.00): gun, shot, guns, fire, fired, shooting, rifle, shoot, hit, shots
Topic 416 (0.00): gene, expression, genes, sequence, sequences, protein, human, cells, shown, fragment
Topic 1345 (0.00): moral, society, morality, human, ethical, values, principles, ethics, sense, morally
Topic 310 (0.00): building, floor, roof, space, buildings, main, ground, built, windows, wall
Topic 393 (0.00): chemical, carbon, oxygen, organic, molecules, chemistry, compounds, hydrogen, water, form
Topic 1047 (0.00): job, career, jobs, training, recruitment, people, employment, experience, employers, qualifications
Topic 108 (0.00): council, county, local, councillors, councillor, district, town, borough, committee, meeting
Topic 407 (0.00): bill, house, government, committee, debate, legislation, commons, parliament, amendment, time
Topic 950 (0.00): computer, software, computers, program, programs, machine, data, machines, system, information
Topic 1039 (0.00): environmental, pollution, environment, air, emissions, dioxide, sulphur, carbon, acid, rain
Topic 901 (0.00): guitar, sound, bass, guitars, neck, amp, sounds, playing, fender, strings
Topic 1055 (0.00): festival, theatre, music, arts, hall, tickets, centre, concert, events, programme
Topic 771 (0.00): aids, virus, infection, disease, infected, diseases, hepatitis, blood, people, health
Topic 467 (0.00): fiction, story, book, novels, characters, reader, narrative, writer, writing, character
Topic 388 (0.00): modules, national, certificate, centres, development, qualifications, courses, assessment, awards, vocational
Topic 222 (0.00): ghost, fairy, god, earth, world, legend, story, evil, death, children
Topic 1095 (0.00): film, films, cinema, production, movies, director, screen, television, audience, industry
Topic 838 (0.00): exchange, rate, currency, rates, sterling, dollar, currencies, monetary, foreign, countries
Topic 984 (0.00): language, languages, linguistic, learning, spoken, foreign, written, teaching, knowledge, speak
Topic 1082 (0.00): cells, minutes, samples, buffer, antibody, solution, serum, cell, sections, added
Topic 910 (0.00): students, university, student, college, education, universities, academic, study, campus, courses
Topic 314 (0.00): cost, market, marginal, price, costs, firm, firms, output, social, efficient
Topic 1053 (0.00): science, scientific, scientists, scientist, research, world, knowledge, sciences, chemistry, physics
Topic 1392 (0.00): growth, productivity, rate, output, labour, prices, increase, investment, capital, cent
Topic 451 (0.00): intelligence, maxim, secret, security, agents, operation, service, information, agent, embassy
Topic 598 (0.00): library, libraries, books, stock, public, book, collection, librarians, information, librarian
Topic 970 (0.00): business, businesses, companies, company, commercial, industry, enterprise, trade, financial, firms
Topic 954 (0.00): purchaser, vendor, sale, business, information, completion, agreement, mas, client, letter
Topic 196 (0.00): language, discourse, meaning, linguistic, grammar, sentences, context, sentence, structure, analysis
Topic 97 (0.00): consciousness, experience, mental, mind, world, perception, physical, sense, objects, conscious
Topic 392 (0.00): race, racing, team, world, championship, grand, car, season, driver, formula
