Topic 741 (0.00): empire, roman, century, emperor, imperial, christian, centuries, power, history, rule
Topic 686 (0.00): major, minister, thatcher, prime, john, government, party, labour, cabinet, election
Topic 355 (0.00): church, built, palace, building, chapel, cathedral, fine, house, square, century
Topic 322 (0.00): race, horse, won, jockey, racing, winner, trainer, cup, run, season
Topic 631 (0.00): museum, art, collection, gallery, national, museums, collections, paintings, arts, exhibition
Topic 1186 (0.00): church, catholic, religious, roman, bishops, churches, pope, christian, council, clergy
Topic 592 (0.00): students, courses, degree, studies, study, faculty, subjects, honours, degrees, university
Topic 186 (0.00): tax, income, taxes, taxation, government, revenue, rate, budget, vat, cent
Topic 1478 (0.00): theatre, play, stage, production, actor, performance, actors, drama, plays, audience
Topic 1463 (0.00): army, officer, regiment, war, military, soldiers, officers, soldier, training, sergeant
Topic 920 (0.00): policy, policies, government, political, public, social, economic, implementation, governments, issues
Topic 1115 (0.00): murder, death, killed, kill, killing, dead, people, life, shot, murdered
Topic 855 (0.00): children, child, parents, adult, adults, age, school, parent, childhood, family
Topic 960 (0.00): boat, deck, water, boats, crew, ship, yacht, sea, sail, sailing
Topic 73 (0.00): learning, teaching, skills, students, student, teacher, experience, education, knowledge, learner
Topic 802 (0.00): daily, press, paper, newspaper, news, newspapers, times, papers, editor, mail
Topic 612 (0.00): women, children, woman, married, wives, home, family, husbands, mothers, employment
Topic 133 (0.00): words, word, recognition, information, system, input, text, lexicon, processing, corpus
Topic 1199 (0.00): law, legal, laws, common, legislation, courts, act, criminal, rules, statute
Topic 722 (0.00): fear, feelings, anger, life, feel, people, emotions, emotional, feeling, love
Topic 1266 (0.00): money, raised, charity, raise, fund, appeal, people, support, funds, local
Topic 934 (0.00): diet, food, foods, sugar, eat, fat, fibre, fruit, vegetables, eating
Topic 61 (0.00): differences, structure, pattern, features, similar, common, patterns, structures, individual, variations
Topic 215 (0.00): letter, letters, write, wrote, dear, written, received, send, hope, read
Topic 699 (0.00): research, study, social, studies, data, methods, project, researcher, researchers, observation
Topic 930 (0.00): president, bush, house, congress, administration, senate, campaign, republican, white, presidential
Topic 96 (0.00): people, person, counselling, life, counsellor, social, feelings, family, feel, time
Topic 23 (0.00): expenditure, spending, budget, government, public, cuts, money, billion, cut, increase
Topic 395 (0.00): ship, ships, sea, navy, fleet, captain, naval, crew, vessel, vessels
Topic 327 (0.00): sea, beach, coast, water, bay, sand, island, shore, tide, boat
Topic 1069 (0.00): rural, population, urban, cities, towns, growth, migration, people, cent, south
Topic 483 (0.00): school, children, pupils, schools, teachers, parents, teacher, education, primary, pupil
Topic 823 (0.00): birds, bird, species, wings, nest, feathers, food, fly, owls, breeding
Topic 1349 (0.00): trade, exports, imports, export, countries, world, market, production, prices, import
Topic 1398 (0.00): hotel, beach, pool, bar, bedrooms, breakfast, night, single, dinner, terrace
Topic 601 (0.00): view, views, opinion, expressed, attitude, public, opinions, attitudes, majority, concern
Topic 70 (0.00): party, labour, national, conference, communist, left, policy, movement, parties, government
Topic 1281 (0.00): form, information, details, application, office, date, required, certificate, copy, send
Topic 881 (0.00): life, experience, spiritual, human, love, god, world, mind, sense, nature
Topic 83 (0.00): profits, shares, market, share, cent, yesterday, stock, dividend, sales, trading
