Topic 393 (0.00): chemical, carbon, oxygen, organic, molecules, chemistry, compounds, hydrogen, form, water
Topic 439 (0.00): west, colonial, land, people, colonies, population, south, century, trade, peoples
Topic 1231 (0.00): care, people, home, elderly, homes, residential, carers, community, services, social
Topic 416 (0.00): gene, expression, genes, sequence, sequences, human, protein, cells, shown, figure
Topic 108 (0.00): council, county, local, councillors, town, councillor, district, borough, committee, people
Topic 451 (0.00): intelligence, maxim, secret, security, agents, service, information, operation, agent, government
Topic 1047 (0.00): job, career, jobs, recruitment, training, employment, people, qualifications, experience, employers
Topic 5 (0.00): farmers, farm, agricultural, agriculture, farming, land, farms, farmer, production, food
Topic 1043 (0.00): demand, money, rate, supply, real, curve, wage, unemployment, inflation, level
Topic 680 (0.00): political, power, bureaucracy, elite, government, control, elites, public, institutions, society
Topic 571 (0.00): oxford, people, reports, pounds, hundred, ago, thousand, home, john, smith
Topic 1039 (0.00): environmental, pollution, environment, emissions, air, dioxide, sulphur, carbon, acid, rain
Topic 1345 (0.00): moral, society, morality, ethical, human, values, view, ethics, principles, sense
Topic 407 (0.00): bill, house, government, committee, debate, legislation, parliament, commons, amendment, time
Topic 310 (0.00): building, floor, roof, space, buildings, main, windows, entrance, built, ground
Topic 1095 (0.00): film, films, cinema, production, movies, director, screen, television, industry, movie
Topic 388 (0.00): modules, national, certificate, centres, courses, qualifications, development, assessment, vocational, awards
Topic 222 (0.00): god, ghost, fairy, earth, world, legend, evil, story, king, gods
Topic 1107 (0.00): gun, shot, fire, fired, guns, shooting, hit, rifle, shoot, bullets
Topic 1392 (0.00): growth, rate, prices, productivity, output, labour, cent, capital, increase, investment
Topic 901 (0.00): guitar, sound, bass, guitars, neck, amp, sounds, playing, strings, guitarist
Topic 950 (0.00): computer, software, computers, program, programs, machine, machines, system, systems, information
Topic 771 (0.00): aids, virus, infection, disease, infected, diseases, hepatitis, blood, people, risk
Topic 910 (0.00): students, university, student, college, education, universities, academic, study, campus, courses
Topic 314 (0.00): cost, marginal, market, price, costs, firm, firms, output, social, prices
Topic 1082 (0.00): cells, samples, minutes, buffer, solution, antibody, serum, added, sections, performed
Topic 414 (0.00): bank, banks, money, market, deposits, bills, rates, discount, assets, financial
Topic 838 (0.00): exchange, rate, currency, rates, sterling, dollar, currencies, monetary, foreign, pound
Topic 250 (0.00): railway, steam, line, train, locomotive, station, trains, class, locomotives, railways
Topic 1055 (0.00): festival, theatre, music, arts, hall, tickets, centre, concert, events, programme
Topic 598 (0.00): library, libraries, books, stock, book, public, collection, librarian, librarians, collections
Topic 1053 (0.00): science, scientific, scientists, scientist, research, knowledge, world, natural, sciences, chemistry
Topic 984 (0.00): language, languages, linguistic, learning, spoken, foreign, written, knowledge, teaching, standard
Topic 102 (0.00): community, local, people, communities, education, social, development, participation, action, support
Topic 954 (0.00): purchaser, vendor, sale, business, information, agreement, completion, mas, warranties, client
Topic 1494 (0.00): holiday, travel, holidays, booking, accommodation, hotel, time, brochure, tour, price
Topic 467 (0.00): story, fiction, book, novels, characters, reader, narrative, writer, character, author
Topic 1284 (0.00): god, christian, theology, bible, human, testament, religion, history, church, faith
Topic 354 (0.00): political, party, politics, parties, government, system, support, politicians, policy, power
Topic 196 (0.00): language, discourse, meaning, linguistic, grammar, context, sentences, sentence, analysis, structure
Topic 392 (0.00): race, racing, team, championship, world, grand, car, season, formula, driver
Topic 462 (0.00): train, station, railway, platform, trains, passengers, car, journey, line, carriage
Topic 498 (0.00): site, development, planning, local, council, plans, building, land, scheme, build
Topic 78 (0.00): music, song, singing, songs, sing, play, played, playing, piano, sang
Topic 441 (0.00): depression, mental, illness, symptoms, disorder, psychiatric, schizophrenia, psychological, behaviour, loss
Topic 1396 (0.00): party, congress, communist, committee, central, political, democratic, people, politburo, secretary
Topic 1155 (0.00): systems, design, system, development, expert, techniques, computer, engineering, analysis, technology
Topic 1104 (0.00): education, training, compact, development, enterprise, industry, partnership, employers, students, people
Topic 1079 (0.00): soil, crops, crop, land, wheat, farmers, grass, seed, grain, fields
Topic 1254 (0.00): evidence, trial, jury, judge, court, witness, witnesses, defence, prosecution, defendant
Topic 1469 (0.00): national, nation, nationalism, political, nations, nationalist, world, independence, people, identity
Topic 873 (0.00): tax, income, capital, revenue, relief, gains, paid, rate, inland, purposes
Topic 385 (0.00): literature, literary, criticism, texts, cultural, critical, writing, text, study, studies
Topic 97 (0.00): experience, consciousness, mental, mind, perception, world, physical, sense, conscious, objects
Topic 1139 (0.00): church, bishop, parish, priest, father, mass, vicar, diocese, priests, catholic
Topic 793 (0.00): courses, programme, day, training, sessions, information, centre, contact, people, workshop
Topic 616 (0.00): surface, sea, soils, erosion, rock, sand, water, weathering, soil, lake
Topic 970 (0.00): business, businesses, companies, company, industry, commercial, enterprise, financial, trade, firms
Topic 630 (0.00): assets, profit, accounts, accounting, account, net, balance, company, loss, cost
Topic 813 (0.00): knitting, knit, machine, stitches, yarn, needles, rows, row, stitch, pattern
Topic 1154 (0.00): pope, king, church, papal, bishop, archbishop, royal, bishops, clergy, innocent
Topic 256 (0.00): courts, decision, court, law, judicial, review, jurisdiction, lord, justice, power
Topic 7 (0.00): approach, strategy, approaches, process, model, strategies, adopted, development, based, view
Topic 826 (0.00): pain, leg, injury, injuries, wound, broken, knee, left, hospital, blood
Topic 739 (0.00): organisation, management, organisations, structure, authority, organisational, managers, responsibility, control, structures
Topic 599 (0.00): river, water, bridge, bank, boat, rivers, lake, banks, mud, tide
Topic 1170 (0.00): medical, doctors, doctor, treatment, medicine, patients, health, patient, clinical, practice
Topic 1375 (0.00): arms, legs, body, leg, head, feet, hands, arm, left, front
Topic 1204 (0.00): genes, selection, genetic, evolution, gene, natural, generation, species, population, evolutionary
Topic 1037 (0.00): community, directive, commission, national, legislation, article, market, law, council, treaty
Topic 863 (0.00): prince, royal, princess, queen, family, palace, marriage, duchess, public, couple
Topic 381 (0.00): museum, centre, exhibition, visitors, shop, history, visit, collection, park, display
Topic 418 (0.00): tea, coffee, cup, cups, table, kitchen, mug, sat, poured, drink
Topic 90 (0.00): planning, development, land, local, permission, authorities, control, authority, town, plans
Topic 1029 (0.00): energy, power, electricity, gas, coal, oil, fuel, efficiency, demand, consumption
Topic 1188 (0.00): street, road, house, lane, park, town, west, square, shop, green
Topic 1075 (0.00): oil, gas, production, north, sea, exploration, field, offshore, companies, petroleum
Topic 1376 (0.00): court, defendant, plaintiff, action, proceedings, defendants, party, application, judgment, plaintiffs
Topic 1479 (0.00): audit, auditors, institute, accounts, companies, financial, firms, report, accountants, accountancy
Topic 1276 (0.00): million, cent, total, billion, estimated, cost, half, figure, figures, increase
Topic 371 (0.00): aircraft, air, flying, museum, aviation, flight, display, engine, world, war
Topic 1184 (0.00): town, towns, market, local, country, centre, houses, city, century, villages
Topic 153 (0.00): horse, horses, riding, ride, mare, rider, stable, saddle, pony, foal
Topic 1314 (0.00): insurance, policy, cover, damage, loss, insured, claim, claims, accident, policyholder
Topic 205 (0.00): car, accident, hospital, crash, killed, died, road, injured, injuries, driver
Topic 513 (0.00): species, plants, plant, vegetation, forest, tropical, seeds, trees, animals, food
Topic 241 (0.00): radio, television, broadcasting, programmes, channel, service, station, broadcast, stations, news
Topic 95 (0.00): binding, protein, promoter, sites, transcription, site, figure, sequence, proteins, lanes
Topic 681 (0.00): dog, dogs, puppy, pet, owner, rottweiler, owners, bitch, vet, home
Topic 218 (0.00): nuclear, power, reactor, plant, fuel, reactors, plutonium, station, energy, safety
Topic 581 (0.00): father, mother, son, family, boy, daughter, child, died, brother, time
Topic 1182 (0.00): car, cars, motor, rover, ford, company, production, model, manufacturers, engine
Topic 1143 (0.00): plaintiff, negligence, duty, damage, liability, defendant, act, liable, action, person
Topic 328 (0.00): award, awards, won, prize, competition, awarded, winner, winners, judges, received
Topic 743 (0.00): tennis, world, players, game, match, player, champion, tournament, final, play
Topic 1207 (0.00): police, officers, policing, chief, force, crime, constable, policemen, public, officer
Topic 613 (0.00): north, south, west, east, northern, southern, region, country, eastern, central
Topic 1496 (0.00): fire, smoke, flames, burning, fires, burn, flame, brigade, set, water
Topic 1224 (0.00): history, historical, historians, evidence, sources, historian, past, material, documents, written
Topic 396 (0.00): vote, referendum, majority, votes, voted, resolution, assembly, favour, approved, constitutional
Topic 274 (0.00): garden, gardens, plants, gardening, gardener, trees, house, gardeners, planting, lawn
Topic 1309 (0.00): defence, military, forces, army, armed, force, troops, air, ministry, staff
Topic 1340 (0.00): module, lifespan, package, modules, user, version, manager, access, file, approval
Topic 252 (0.00): term, terms, word, sense, describe, meaning, refer, definition, phrase, concept
Topic 353 (0.00): sex, sexual, women, woman, love, male, female, sexuality, partner, intercourse
Topic 279 (0.00): parliament, king, church, government, war, revolution, civil, parliamentary, country, house
