Topic 21 (0.00): funding, funds, grant, money, fund, support, government, grants, financial, council
Topic 602 (0.00): party, cent, elections, seats, election, vote, won, parties, democratic, candidates
Topic 1291 (0.00): painting, art, artist, paintings, artists, drawing, painter, portrait, paint, painted
Topic 675 (0.00): proposals, proposed, council, consultation, proposal, document, paper, review, draft, committee
Topic 1108 (0.00): solution, difficult, difficulties, situation, future, difficulty, remain, alternative, task, question
Topic 805 (0.00): party, government, labour, conservative, policy, political, policies, conservatives, social, thatcher
Topic 762 (0.00): research, technology, science, university, department, centre, programme, development, institute, academic
Topic 637 (0.00): patients, disease, colitis, normal, bowel, inflammatory, found, biopsy, serum, chronic
Topic 756 (0.00): war, world, military, gulf, country, civil, army, wars, wartime, fighting
Topic 286 (0.00): flowers, plants, garden, flower, plant, leaves, roses, summer, spring, foliage
Topic 1302 (0.00): chapter, section, discussed, chapters, book, discussion, analysis, main, study, detail
Topic 1129 (0.00): social, society, people, sociology, life, individual, behaviour, individuals, societies, relations
Topic 1336 (0.00): community, union, treaty, economic, policy, monetary, single, political, countries, common
Topic 924 (0.00): charges, court, trial, government, investigation, corruption, alleged, scandal, arrested, prison
Topic 1200 (0.00): teachers, schools, teacher, teaching, school, curriculum, education, classroom, development, primary
Topic 652 (0.00): magazine, article, issue, readers, editor, read, articles, page, letter, journal
Topic 1163 (0.00): windows, program, screen, files, dos, file, software, version, package, disk
Topic 334 (0.00): local, government, authorities, councils, central, services, authority, county, council, district
Topic 45 (0.00): military, army, coup, government, president, forces, officers, armed, country, panama
Topic 808 (0.00): love, smiled, time, looked, laughed, told, happy, kissed, meet, tomorrow
Topic 122 (0.00): increase, increased, rate, reduction, reduced, increasing, effect, change, increases, decline
Topic 261 (0.00): sales, company, market, products, customers, selling, business, companies, marketing, product
Topic 1000 (0.00): soviet, supreme, republics, republic, union, president, independence, deputies, federation, congress
Topic 408 (0.00): report, committee, commission, recommendations, reports, published, government, evidence, recommended, review
Topic 1120 (0.00): phone, telephone, call, voice, calls, ring, rang, time, receiver, office
Topic 608 (0.00): issues, debate, issue, questions, discussion, political, public, question, concern, future
Topic 505 (0.00): friends, friend, life, time, met, found, friendship, home, school, girls
Topic 1227 (0.00): court, told, police, yesterday, trial, heard, crown, found, murder, guilty
Topic 741 (0.00): empire, roman, century, emperor, imperial, christian, centuries, rule, power, time
Topic 1239 (0.00): care, social, services, community, health, service, workers, people, assessment, residential
Topic 355 (0.00): church, built, palace, building, chapel, cathedral, fine, century, house, square
Topic 1478 (0.00): theatre, play, stage, production, actor, performance, actors, drama, plays, audience
Topic 664 (0.00): glass, drink, wine, bottle, table, whisky, glasses, brandy, drank, poured
Topic 322 (0.00): race, horse, won, winner, racing, jockey, trainer, cup, season, run
Topic 631 (0.00): museum, art, collection, gallery, national, museums, collections, arts, paintings, exhibition
Topic 920 (0.00): policy, policies, government, political, public, economic, social, implementation, governments, issues
Topic 1174 (0.00): party, president, elected, minister, national, government, council, political, elections, assembly
Topic 1186 (0.00): church, catholic, roman, religious, bishops, pope, christian, churches, council, archbishop
Topic 1199 (0.00): law, legal, laws, common, courts, act, legislation, criminal, rules, principles
Topic 1115 (0.00): murder, death, killed, kill, dead, killing, people, life, murdered, shot
Topic 186 (0.00): tax, income, taxes, taxation, rate, revenue, government, budget, vat, pay
Topic 686 (0.00): major, minister, thatcher, prime, john, government, party, labour, cabinet, chancellor
Topic 592 (0.00): students, courses, degree, studies, study, faculty, honours, subjects, degrees, department
Topic 1463 (0.00): army, officer, regiment, soldiers, military, war, officers, training, soldier, sergeant
Topic 930 (0.00): president, bush, house, congress, administration, senate, campaign, republican, white, presidential
Topic 61 (0.00): differences, features, structure, pattern, patterns, common, similar, variations, structures, form
Topic 960 (0.00): boat, deck, water, boats, ship, crew, sea, yacht, sailing, cabin
Topic 133 (0.00): word, words, recognition, information, system, input, text, lexicon, processing, corpus
Topic 699 (0.00): research, study, social, studies, data, methods, project, researchers, researcher, observation
Topic 855 (0.00): children, child, parents, adult, adults, age, parent, childhood, school, family
Topic 1069 (0.00): rural, population, urban, cities, towns, growth, people, migration, cent, south
Topic 934 (0.00): diet, food, foods, sugar, eat, fat, fibre, fruit, eating, vegetables
Topic 73 (0.00): learning, teaching, skills, students, student, teacher, experience, knowledge, education, learner
Topic 23 (0.00): expenditure, spending, budget, government, public, cuts, money, billion, increase, cut
Topic 802 (0.00): press, newspaper, daily, paper, newspapers, news, papers, times, editor, story
Topic 1398 (0.00): hotel, pool, beach, bar, bedrooms, breakfast, night, single, dinner, private
Topic 722 (0.00): fear, feelings, anger, feel, life, people, emotions, emotional, feeling, person
Topic 1349 (0.00): trade, exports, imports, export, countries, world, market, production, prices, import
Topic 612 (0.00): women, children, woman, wives, married, home, family, husbands, mothers, employment
Topic 395 (0.00): ship, ships, sea, navy, fleet, captain, naval, crew, coast, vessels
Topic 483 (0.00): school, children, pupils, teachers, schools, teacher, parents, education, primary, pupil
Topic 215 (0.00): letter, letters, wrote, write, dear, written, received, read, send, hope
Topic 1266 (0.00): money, raised, charity, raise, fund, appeal, people, local, funds, support
Topic 327 (0.00): sea, beach, coast, sand, water, bay, island, shore, tide, boat
Topic 823 (0.00): birds, bird, species, wings, nest, owl, feathers, fly, food, owls
Topic 96 (0.00): people, person, counselling, life, counsellor, social, feel, feelings, family, experience
Topic 1281 (0.00): form, information, details, application, office, date, required, certificate, address, copy
Topic 959 (0.00): water, clean, clothes, washing, wash, kitchen, bed, floor, dirty, hot
Topic 83 (0.00): profits, shares, market, share, cent, yesterday, dividend, trading, sales, stock
Topic 200 (0.00): police, night, home, attack, car, officers, house, yesterday, incident, arrested
Topic 881 (0.00): life, experience, spiritual, human, love, god, world, mind, nature, sense
Topic 715 (0.00): people, person, lot, live, lives, life, understand, talk, feel, world
Topic 1195 (0.00): killed, police, government, security, army, people, attack, attacks, claimed, forces
Topic 601 (0.00): view, opinion, views, attitude, expressed, public, opinions, attitudes, majority, matter
Topic 70 (0.00): party, labour, national, communist, conference, policy, left, movement, parties, government
Topic 1430 (0.00): rights, human, amnesty, government, prisoners, international, political, prison, death, torture
Topic 374 (0.00): army, war, troops, attack, enemy, forces, battle, front, allied, armies
Topic 769 (0.00): minister, cabinet, prime, government, ministers, secretary, office, lord, thatcher, sir
Topic 243 (0.00): benefit, income, benefits, social, security, support, allowance, people, supplementary, system
Topic 877 (0.00): beauty, beautiful, world, mind, life, eyes, light, love, joy, dream
Topic 109 (0.00): police, body, found, murder, inspector, death, dead, sergeant, detective, missing
Topic 277 (0.00): add, minutes, oil, cook, pan, pepper, serve, salt, chopped, heat
Topic 893 (0.00): golf, round, green, hole, shot, play, tour, won, tournament, par
Topic 1197 (0.00): government, democracy, constitution, parliament, constitutional, political, power, people, democratic, system
Topic 795 (0.00): baby, mother, child, birth, babies, pregnant, born, pregnancy, mothers, women
Topic 1157 (0.00): countries, world, international, development, global, developing, economic, aid, country, nations
Topic 967 (0.00): staff, department, management, manager, senior, training, personnel, service, responsibility, job
Topic 728 (0.00): house, home, live, flat, living, cottage, people, moved, lived, family
Topic 1166 (0.00): knowledge, experience, understanding, skills, people, understand, ability, technical, skill, learn
Topic 517 (0.00): data, values, analysis, distribution, calculated, table, results, standard, test, differences
Topic 1059 (0.00): site, sites, evidence, archaeological, roman, buildings, settlement, excavation, remains, found
Topic 74 (0.00): failure, lack, poor, inadequate, failed, result, failures, due, reasons, fail
Topic 50 (0.00): engine, power, rover, rear, front, fitted, range, speed, car, steering
Topic 134 (0.00): union, trade, unions, industrial, workers, labour, bargaining, relations, employers, collective
Topic 144 (0.00): poor, poverty, social, people, conditions, living, families, children, housing, welfare
Topic 130 (0.00): management, managers, manager, people, company, business, profit, employees, job, team
Topic 859 (0.00): tears, pain, life, death, cry, grief, feeling, crying, anger, suffering
Topic 377 (0.00): committee, council, committees, executive, chairman, secretary, body, policy, officers, board
Topic 1354 (0.00): patients, treatment, study, trial, dose, placebo, trials, months, patient, treated
Topic 1423 (0.00): director, chairman, executive, company, chief, appointed, managing, manager, board, business
Topic 382 (0.00): company, companies, directors, business, shareholders, corporate, director, limited, management, act
Topic 156 (0.00): civil, government, service, department, servants, departments, public, ministers, policy, minister
Topic 1330 (0.00): table, figures, average, figure, total, proportion, statistics, percentage, compared, period
Topic 720 (0.00): housing, local, council, houses, accommodation, tenants, homes, homeless, house, private
Topic 1264 (0.00): paper, read, written, writing, letter, write, pen, notes, letters, hand
Topic 240 (0.00): desk, office, door, chair, sat, looked, morning, floor, papers, file
Topic 84 (0.00): range, design, designed, designs, wide, products, choice, prices, sizes, offer
Topic 1219 (0.00): health, care, services, patients, service, practice, practitioners, authorities, practices, hospital
Topic 952 (0.00): education, courses, colleges, college, institutions, universities, students, polytechnics, university, polytechnic
Topic 693 (0.00): factors, factor, influence, individual, conditions, importance, nature, environment, degree, affect
Topic 1394 (0.00): minister, affairs, cabinet, prime, foreign, ministers, deputy, education, defence, industry
Topic 79 (0.00): price, prices, market, buy, cost, pay, sell, bought, buying, costs
Topic 774 (0.00): century, land, local, poor, population, parish, wealth, labourers, country, rural
Topic 1164 (0.00): conference, held, international, seminar, delegates, details, meeting, university, institute, conferences
Topic 541 (0.00): countryside, conservation, national, nature, wildlife, environment, environmental, trust, land, natural
Topic 1073 (0.00): peasant, peasants, government, land, tsar, peasantry, reform, political, local, provinces
