Topic 1239 (0.00): care, social, services, community, health, service, people, workers, assessment, residential
Topic 355 (0.00): church, built, palace, building, chapel, cathedral, century, fine, square, house
Topic 608 (0.00): issues, debate, issue, questions, discussion, question, political, public, concern, policy
Topic 186 (0.00): tax, income, taxes, taxation, revenue, rate, government, budget, cent, vat
Topic 505 (0.00): friends, friend, life, time, met, found, friendship, home, house, school
Topic 1174 (0.00): party, president, elected, minister, national, government, political, council, elections, assembly
Topic 1199 (0.00): law, legal, laws, common, courts, act, legislation, criminal, rules, principles
Topic 322 (0.00): race, horse, racing, jockey, won, winner, trainer, cup, run, season
Topic 631 (0.00): museum, art, collection, gallery, national, museums, collections, arts, exhibition, paintings
Topic 1186 (0.00): church, catholic, religious, roman, christian, bishops, pope, churches, council, priests
Topic 1478 (0.00): theatre, play, stage, production, actor, performance, actors, drama, plays, audience
Topic 686 (0.00): major, minister, thatcher, prime, john, party, government, labour, cabinet, election
Topic 741 (0.00): empire, roman, century, emperor, imperial, christian, centuries, power, rule, history
Topic 61 (0.00): differences, structure, features, pattern, similar, patterns, common, structures, variations, individual
Topic 1463 (0.00): army, officer, military, regiment, soldiers, war, officers, soldier, training, captain
Topic 1115 (0.00): murder, death, killed, kill, dead, killing, life, people, murdered, shot
Topic 1069 (0.00): rural, population, urban, cities, towns, growth, migration, cent, people, city
Topic 920 (0.00): policy, policies, government, political, economic, social, public, implementation, governments, issues
Topic 592 (0.00): students, courses, degree, studies, study, faculty, subjects, honours, degrees, university
Topic 73 (0.00): learning, teaching, skills, students, student, teacher, experience, knowledge, education, learner
Topic 133 (0.00): words, word, recognition, information, system, input, text, processing, lexicon, corpus
Topic 699 (0.00): research, study, social, studies, data, methods, project, researchers, researcher, observation
Topic 960 (0.00): boat, deck, water, boats, ship, crew, yacht, sea, sailing, sail
Topic 327 (0.00): sea, beach, coast, water, sand, bay, island, shore, tide, boat
Topic 802 (0.00): daily, press, newspaper, paper, news, newspapers, papers, times, editor, mail
Topic 930 (0.00): president, bush, house, congress, campaign, senate, administration, republican, white, bill
Topic 855 (0.00): children, child, parents, adult, adults, age, parent, childhood, school, family
Topic 612 (0.00): women, children, woman, wives, married, family, home, husbands, mothers, employment
Topic 1349 (0.00): trade, exports, imports, export, countries, world, market, production, prices, import
Topic 1398 (0.00): hotel, beach, bar, pool, bedrooms, breakfast, night, restaurant, single, private
Topic 934 (0.00): diet, food, foods, sugar, eat, fat, fibre, vegetables, fruit, eating
Topic 23 (0.00): expenditure, spending, budget, government, public, cuts, money, billion, increase, cut
Topic 722 (0.00): fear, feelings, anger, life, feel, people, emotions, emotional, feeling, love
Topic 1266 (0.00): money, raised, charity, raise, fund, appeal, people, local, funds, support
Topic 395 (0.00): ship, ships, sea, navy, fleet, captain, naval, crew, vessel, vessels
Topic 96 (0.00): people, person, counselling, life, social, counsellor, feel, feelings, loss, family
Topic 601 (0.00): view, opinion, views, expressed, attitude, public, opinions, attitudes, majority, people
Topic 83 (0.00): profits, shares, market, share, cent, yesterday, dividend, trading, stock, sales
Topic 823 (0.00): birds, bird, species, wings, feathers, nest, food, owl, fly, owls
Topic 483 (0.00): school, children, pupils, teachers, teacher, schools, parents, education, primary, pupil
Topic 215 (0.00): letter, letters, write, wrote, dear, written, hope, send, received, read
Topic 1281 (0.00): form, information, details, date, office, application, required, certificate, copy, address
Topic 70 (0.00): party, labour, national, communist, conference, policy, left, movement, parties, support
Topic 769 (0.00): minister, cabinet, prime, government, ministers, secretary, office, lord, sir, thatcher
Topic 1430 (0.00): rights, human, amnesty, government, prisoners, international, political, prison, death, torture
Topic 109 (0.00): police, body, found, murder, inspector, death, dead, detective, missing, sergeant
Topic 967 (0.00): staff, department, management, manager, training, personnel, senior, service, job, responsibility
Topic 374 (0.00): army, troops, attack, war, forces, enemy, battle, front, allied, armies
Topic 795 (0.00): baby, mother, child, birth, babies, pregnant, born, pregnancy, mothers, women
Topic 200 (0.00): police, night, home, attack, house, car, officers, yesterday, arrested, street
Topic 881 (0.00): life, experience, spiritual, human, god, love, world, mind, sense, nature
Topic 1195 (0.00): killed, government, police, security, people, attack, army, forces, reported, attacks
Topic 1197 (0.00): government, democracy, constitution, parliament, political, constitutional, power, people, system, democratic
Topic 243 (0.00): benefit, income, benefits, social, security, support, people, allowance, supplementary, system
Topic 959 (0.00): water, clean, clothes, washing, wash, kitchen, floor, dirty, hot, bath
Topic 74 (0.00): failure, lack, poor, inadequate, failed, result, failures, difficult, due, fail
Topic 728 (0.00): house, home, live, flat, living, cottage, people, family, lived, moved
Topic 277 (0.00): add, minutes, oil, cook, pan, pepper, chopped, salt, heat, serve
Topic 877 (0.00): beauty, beautiful, world, mind, life, light, love, joy, eyes, day
Topic 893 (0.00): golf, round, green, hole, play, shot, tour, won, tournament, par
Topic 715 (0.00): people, person, lot, live, lives, understand, country, time, living, feel
Topic 1423 (0.00): director, chairman, company, executive, chief, managing, appointed, manager, board, management
Topic 50 (0.00): engine, power, rear, rover, front, fitted, range, steering, speed, car
Topic 1059 (0.00): sites, site, evidence, archaeological, roman, buildings, settlement, excavation, remains, settlements
Topic 1166 (0.00): knowledge, understanding, experience, skills, understand, ability, people, technical, skill, learn
Topic 377 (0.00): committee, council, committees, executive, chairman, secretary, board, body, representatives, officers
Topic 240 (0.00): desk, office, door, chair, sat, morning, looked, corridor, papers, file
Topic 1157 (0.00): countries, world, international, development, global, developing, economic, aid, country, nations
Topic 144 (0.00): poor, poverty, social, people, conditions, living, children, families, unemployment, housing
Topic 1264 (0.00): paper, read, written, writing, letter, pen, write, letters, notes, hand
Topic 517 (0.00): data, values, analysis, distribution, calculated, table, test, standard, results, significant
Topic 382 (0.00): company, companies, directors, business, shareholders, corporate, limited, director, management, employees
Topic 84 (0.00): range, design, designed, designs, wide, choice, prices, price, products, costs
Topic 1354 (0.00): patients, treatment, study, trial, dose, placebo, months, trials, weeks, treated
Topic 79 (0.00): price, prices, market, buy, cost, sell, pay, bought, buying, sold
Topic 134 (0.00): union, trade, unions, industrial, workers, labour, bargaining, relations, employers, collective
Topic 130 (0.00): management, managers, manager, people, business, company, profit, employees, job, senior
Topic 1330 (0.00): table, figures, average, figure, total, proportion, statistics, percentage, data, compared
Topic 859 (0.00): tears, pain, life, death, cry, grief, suffering, time, crying, anger
Topic 952 (0.00): education, courses, colleges, college, institutions, universities, students, polytechnics, university, polytechnic
Topic 156 (0.00): civil, government, service, department, servants, departments, public, ministers, policy, minister
Topic 1219 (0.00): health, care, services, patients, service, practice, practitioners, authorities, hospital, practices
Topic 1164 (0.00): conference, held, international, seminar, details, delegates, institute, university, meeting, conferences
Topic 720 (0.00): housing, council, local, houses, accommodation, tenants, homes, house, homeless, private
Topic 693 (0.00): factors, factor, influence, individual, environment, conditions, nature, degree, importance, affect
Topic 1404 (0.00): hotel, taxi, driver, airport, left, cab, car, time, waiting, minutes
Topic 624 (0.00): patients, patient, liver, treatment, bleeding, surgery, cardiac, disease, coronary, months
Topic 905 (0.00): aircraft, plane, pilot, flying, flight, air, fly, landing, airport, runway
Topic 86 (0.00): colour, red, colours, blue, white, yellow, green, black, light, dark
Topic 541 (0.00): countryside, national, conservation, nature, wildlife, environment, trust, environmental, land, sites
Topic 1073 (0.00): peasants, peasant, government, land, tsar, peasantry, reform, political, local, nobility
Topic 5 (0.00): farmers, farm, agricultural, agriculture, farming, land, farms, farmer, production, rural
Topic 1394 (0.00): minister, affairs, cabinet, prime, foreign, ministers, deputy, education, finance, defence
Topic 1025 (0.00): shop, shops, store, stores, shopping, customers, buy, street, customer, people
Topic 719 (0.00): people, person, talk, feel, talking, time, listening, listen, feelings, difficult
Topic 629 (0.00): money, week, pay, paid, day, buy, job, food, cost, home
Topic 1241 (0.00): strike, union, workers, unions, action, trade, industrial, strikes, dispute, government
Topic 439 (0.00): land, colonial, west, people, colonies, century, south, population, trade, peoples
