Topic 1157 (0.00): countries, world, international, development, global, developing, aid, country, economic, nations
Topic 134 (0.00): union, trade, unions, industrial, workers, labour, bargaining, relations, employers, collective
Topic 1330 (0.00): table, figures, average, figure, total, proportion, statistics, percentage, period, compared
Topic 74 (0.00): failure, lack, poor, inadequate, failed, result, failures, due, fail, difficult
Topic 1423 (0.00): director, chairman, executive, chief, company, appointed, managing, board, manager, management
Topic 240 (0.00): desk, office, door, chair, sat, looked, morning, floor, papers, corridor
Topic 130 (0.00): management, managers, manager, people, business, company, profit, employees, job, team
Topic 84 (0.00): range, design, designed, designs, wide, choice, prices, quality, price, products
Topic 859 (0.00): tears, life, pain, death, cry, grief, anger, feeling, crying, time
Topic 1354 (0.00): patients, treatment, study, trial, dose, months, placebo, trials, weeks, treated
Topic 156 (0.00): civil, government, service, department, servants, departments, public, policy, ministers, minister
Topic 382 (0.00): company, companies, directors, business, shareholders, corporate, limited, director, management, act
Topic 144 (0.00): poor, poverty, social, people, conditions, living, families, children, unemployment, welfare
Topic 952 (0.00): education, courses, colleges, college, universities, institutions, students, polytechnics, university, polytechnic
Topic 1219 (0.00): health, care, services, patients, service, practitioners, authorities, practice, practices, hospital
Topic 693 (0.00): factors, factor, influence, individual, environment, conditions, importance, degree, nature, affect
Topic 720 (0.00): housing, council, local, houses, accommodation, tenants, homes, homeless, private, authorities
Topic 774 (0.00): century, land, local, poor, parish, population, wealth, country, labourers, towns
Topic 905 (0.00): aircraft, plane, pilot, flying, flight, air, fly, airport, landing, feet
Topic 1164 (0.00): conference, held, international, seminar, delegates, meeting, details, institute, organised, university
Topic 79 (0.00): price, prices, market, buy, cost, sell, pay, bought, buying, offer
Topic 541 (0.00): countryside, national, conservation, nature, wildlife, environmental, environment, trust, land, natural
Topic 1394 (0.00): minister, affairs, cabinet, prime, ministers, foreign, education, deputy, defence, industry
Topic 624 (0.00): patients, patient, liver, treatment, bleeding, surgery, cardiac, acute, coronary, portal
