Topic 1069 (0.00): rural, population, urban, cities, towns, growth, people, migration, cent, south
Topic 855 (0.00): children, child, parents, adult, adults, age, parent, school, childhood, family
Topic 215 (0.00): letter, letters, wrote, write, dear, written, received, hope, send, reply
Topic 699 (0.00): research, study, social, studies, data, methods, project, researcher, researchers, observation
Topic 23 (0.00): expenditure, spending, budget, government, public, cuts, money, billion, financial, increase
Topic 934 (0.00): diet, food, foods, sugar, eat, fat, fibre, fruit, vegetables, eating
Topic 1349 (0.00): trade, exports, imports, export, countries, world, market, production, prices, import
Topic 722 (0.00): fear, feelings, anger, feel, life, emotions, people, emotional, feeling, love
Topic 96 (0.00): people, person, counselling, life, social, feelings, counsellor, feel, family, experience
Topic 1398 (0.00): hotel, pool, bar, beach, bedrooms, breakfast, night, dinner, terrace, single
Topic 483 (0.00): school, children, pupils, schools, teachers, teacher, parents, education, primary, pupil
Topic 601 (0.00): view, opinion, views, expressed, attitude, public, opinions, attitudes, majority, support
Topic 327 (0.00): sea, beach, coast, water, sand, bay, island, shore, tide, boat
Topic 395 (0.00): ship, ships, sea, navy, fleet, captain, naval, crew, vessel, vessels
Topic 200 (0.00): police, night, home, attack, officers, house, car, yesterday, arrested, incident
Topic 823 (0.00): birds, bird, species, wings, nest, food, feathers, fly, owl, owls
Topic 1281 (0.00): form, information, details, application, office, date, required, certificate, copy, address
Topic 1195 (0.00): killed, government, police, security, people, attack, army, attacks, forces, claimed
Topic 70 (0.00): party, labour, national, communist, conference, movement, left, policy, government, parties
Topic 715 (0.00): people, live, person, lot, lives, feel, talk, understand, life, world
Topic 959 (0.00): water, clean, washing, clothes, wash, kitchen, hot, dirty, floor, dry
Topic 83 (0.00): profits, shares, market, share, cent, yesterday, dividend, sales, trading, stock
Topic 769 (0.00): minister, cabinet, prime, government, ministers, secretary, office, thatcher, lord, sir
Topic 967 (0.00): staff, department, management, manager, personnel, senior, training, service, job, responsibility
Topic 243 (0.00): benefit, income, benefits, social, security, support, allowance, people, supplementary, week
Topic 374 (0.00): army, war, troops, attack, forces, enemy, allied, battle, front, armies
Topic 881 (0.00): life, experience, spiritual, human, god, love, world, sense, nature, mind
Topic 109 (0.00): police, body, found, murder, inspector, death, dead, detective, missing, sergeant
Topic 277 (0.00): add, minutes, oil, cook, pan, serve, salt, pepper, chopped, heat
Topic 1430 (0.00): rights, human, amnesty, government, prisoners, international, political, torture, prison, death
Topic 1197 (0.00): government, democracy, constitution, parliament, political, constitutional, power, people, democratic, system
Topic 728 (0.00): house, home, live, flat, living, cottage, lived, couple, moved, people
Topic 795 (0.00): baby, mother, child, birth, babies, pregnant, born, pregnancy, mothers, women
Topic 877 (0.00): beauty, beautiful, world, mind, life, light, eyes, day, love, joy
