Topic 1199 (0.00): law, legal, laws, common, courts, legislation, act, criminal, rules, statute
Topic 96 (0.00): people, person, life, counselling, counsellor, social, feelings, experience, loss, family
Topic 1115 (0.00): murder, killed, death, kill, killing, dead, life, people, shot, murdered
Topic 855 (0.00): children, child, parents, adult, age, adults, parent, family, school, childhood
Topic 73 (0.00): learning, teaching, skills, students, student, teacher, experience, knowledge, education, teachers
Topic 722 (0.00): fear, feelings, anger, people, life, feel, emotional, emotions, feeling, love
Topic 1069 (0.00): rural, population, urban, cities, towns, growth, people, cent, migration, south
Topic 612 (0.00): women, children, woman, wives, married, family, home, husbands, mothers, employment
Topic 133 (0.00): words, word, recognition, information, system, input, text, lexicon, processing, corpus
Topic 802 (0.00): press, newspaper, daily, paper, news, newspapers, times, papers, editor, journalists
Topic 23 (0.00): expenditure, spending, budget, government, public, cuts, money, billion, increase, capital
Topic 1266 (0.00): money, raised, charity, raise, fund, people, appeal, local, funds, event
Topic 699 (0.00): research, study, social, studies, data, methods, project, researchers, researcher, observation
Topic 1349 (0.00): trade, exports, imports, export, countries, world, market, production, prices, products
Topic 1281 (0.00): information, form, details, application, office, date, required, certificate, copy, address
Topic 374 (0.00): army, troops, war, attack, forces, battle, enemy, allied, front, line
Topic 1398 (0.00): hotel, pool, beach, bar, bedrooms, breakfast, night, single, dinner, restaurant
Topic 934 (0.00): diet, food, foods, sugar, eat, fat, fibre, fruit, eating, vegetables
Topic 823 (0.00): birds, bird, species, wings, nest, food, fly, feathers, owl, breeding
Topic 395 (0.00): ship, ships, sea, navy, fleet, captain, naval, seamen, crew, vessels
Topic 327 (0.00): sea, beach, water, coast, bay, sand, island, shore, tide, boat
Topic 483 (0.00): school, children, pupils, teachers, teacher, schools, parents, education, primary, pupil
Topic 881 (0.00): life, experience, human, spiritual, god, love, mind, sense, world, reality
Topic 200 (0.00): police, night, home, attack, house, car, officers, yesterday, gang, people
Topic 215 (0.00): letter, letters, wrote, write, dear, written, received, read, reply, send
Topic 1195 (0.00): killed, police, government, people, security, army, attack, attacks, forces, claimed
Topic 70 (0.00): party, labour, national, conference, communist, movement, policy, left, government, parties
Topic 83 (0.00): profits, shares, market, share, cent, yesterday, trading, dividend, stock, sales
Topic 769 (0.00): minister, cabinet, prime, government, secretary, ministers, office, sir, lord, thatcher
Topic 959 (0.00): water, clean, clothes, washing, wash, kitchen, bed, dirty, floor, hot
Topic 1197 (0.00): government, democracy, constitution, parliament, constitutional, political, power, people, system, democratic
Topic 893 (0.00): golf, round, green, hole, shot, play, tour, won, tournament, par
Topic 601 (0.00): opinion, view, views, expressed, attitude, public, opinions, attitudes, majority, concerned
Topic 967 (0.00): staff, department, management, manager, senior, personnel, job, service, training, responsibility
Topic 1430 (0.00): rights, human, amnesty, government, prisoners, international, political, prison, torture, released
Topic 1157 (0.00): countries, world, international, global, development, developing, aid, country, economic, nations
Topic 109 (0.00): police, body, found, murder, death, inspector, dead, missing, sergeant, detective
Topic 877 (0.00): beauty, beautiful, world, mind, life, love, day, eyes, light, delight
Topic 517 (0.00): data, values, analysis, distribution, table, calculated, test, results, standard, significant
Topic 243 (0.00): benefit, income, benefits, social, security, support, allowance, people, supplementary, insurance
Topic 277 (0.00): add, minutes, cook, oil, pan, salt, chopped, pepper, serve, heat
Topic 795 (0.00): baby, child, mother, birth, babies, pregnant, born, pregnancy, mothers, women
Topic 130 (0.00): management, managers, manager, people, company, business, employees, profit, job, senior
Topic 50 (0.00): engine, power, rear, rover, front, range, fitted, steering, car, speed
Topic 715 (0.00): people, person, live, lives, lot, understand, feel, living, world, time
Topic 1166 (0.00): knowledge, experience, understanding, skills, understand, people, ability, technical, skill, learn
Topic 377 (0.00): committee, council, committees, executive, chairman, body, secretary, officers, policy, meetings
Topic 1423 (0.00): director, chairman, executive, company, chief, appointed, managing, manager, board, business
Topic 859 (0.00): tears, life, pain, death, grief, cry, anger, feeling, crying, suffering
Topic 1059 (0.00): sites, site, evidence, roman, archaeological, buildings, settlement, excavation, found, remains
Topic 74 (0.00): failure, lack, poor, inadequate, failed, result, failures, difficult, reasons, criticism
Topic 1330 (0.00): table, figures, average, figure, total, proportion, statistics, percentage, compared, data
Topic 79 (0.00): price, prices, market, buy, cost, pay, sell, bought, sold, costs
Topic 144 (0.00): poor, poverty, social, people, conditions, living, families, unemployment, children, society
Topic 1354 (0.00): patients, treatment, study, trial, dose, placebo, months, trials, treated, weeks
Topic 1264 (0.00): paper, read, written, writing, write, letter, letters, pen, notes, hand
Topic 728 (0.00): house, home, live, flat, living, cottage, moved, lived, family, people
Topic 134 (0.00): union, trade, unions, industrial, workers, bargaining, labour, relations, employers, collective
Topic 156 (0.00): civil, government, department, service, servants, departments, public, ministers, policy, minister
Topic 382 (0.00): company, companies, directors, business, shareholders, corporate, director, limited, management, employees
Topic 84 (0.00): range, design, designed, designs, wide, choice, prices, products, sizes, offer
Topic 1219 (0.00): health, care, services, patients, service, practice, practitioners, authorities, hospital, practices
Topic 240 (0.00): desk, office, door, chair, sat, looked, papers, floor, morning, corridor
Topic 720 (0.00): housing, council, local, houses, accommodation, tenants, homes, homeless, private, authorities
Topic 952 (0.00): education, courses, colleges, college, institutions, universities, students, university, polytechnics, polytechnic
Topic 693 (0.00): factors, factor, influence, individual, conditions, environment, nature, degree, importance, potential
Topic 905 (0.00): aircraft, plane, pilot, flying, flight, air, fly, landing, airport, runway
Topic 1164 (0.00): conference, held, international, seminar, institute, meeting, details, university, delegates, conferences
Topic 329 (0.00): church, cathedral, century, built, churches, building, nave, buildings, columns, stone
Topic 1025 (0.00): shop, shops, store, stores, shopping, customers, buy, street, customer, retail
Topic 624 (0.00): patients, patient, liver, treatment, bleeding, surgery, cardiac, acute, coronary, portal
Topic 1394 (0.00): minister, affairs, prime, cabinet, foreign, ministers, education, deputy, defence, national
Topic 1073 (0.00): peasants, peasant, government, land, peasantry, tsar, reform, local, political, nobility
Topic 629 (0.00): money, week, pay, paid, day, buy, job, home, cost, rent
Topic 541 (0.00): countryside, conservation, national, nature, wildlife, environment, environmental, land, natural, sites
Topic 1231 (0.00): care, people, home, elderly, homes, residential, carers, community, services, social
Topic 86 (0.00): colour, red, colours, blue, white, yellow, green, black, light, dark
Topic 1241 (0.00): strike, union, workers, unions, action, trade, industrial, dispute, strikes, government
Topic 571 (0.00): oxford, people, reports, pounds, hundred, ago, thousand, home, smith, country
Topic 1043 (0.00): demand, money, rate, supply, real, curve, labour, wage, level, unemployment
Topic 774 (0.00): century, land, local, poor, parish, population, wealth, labourers, villages, towns
Topic 719 (0.00): people, person, talk, feel, talking, listen, listening, time, ideas, situation
Topic 439 (0.00): west, colonial, colonies, century, people, population, land, south, trade, peoples
Topic 486 (0.00): television, news, programme, radio, programmes, series, people, viewers, live, coverage
Topic 1404 (0.00): hotel, taxi, driver, airport, left, cab, car, waiting, flight, told
Topic 1047 (0.00): job, career, jobs, recruitment, training, people, employment, experience, qualifications, employers
Topic 403 (0.00): culture, cultural, society, world, western, cultures, values, modern, people, social
Topic 416 (0.00): gene, expression, genes, sequence, human, sequences, protein, cells, shown, fragment
Topic 393 (0.00): chemical, carbon, oxygen, organic, molecules, chemistry, compounds, hydrogen, water, form
